SensorId, TimeStamp (s), FrameNumber, AccX (g), AccY (g), AccZ (g), GyroX (deg/s), GyroY (deg/s), GyroZ (deg/s), MagX (uT), MagY (uT), MagZ (uT), EulerX (deg), EulerY (deg), EulerZ (deg), QuatW, QuatX, QuatY, QuatZ, LinAccX (g), LinAccY (g), LinAccZ (g), Pressure (kPa), Altitude (m), Temperature (degC), HeaveMotion (m)
1, 0.0000, 0, 0.00536598, -0.98482895, -0.21477203, -0.68788165, -0.07737020, -0.09016073, 11.71090508, -66.36645508, 49.05529022, -0.04789880, -0.08385009, -2.67657161, 0.99972695, 0.00043497, 0.00072177, 0.02335566, -0.00683202, 0.98561990, -0.78522658, 87.60200500, 1210.63012695, 39.36000061, 0.00000000
1, 0.0100, 1, 0.00380247, -0.98714727, -0.21222118, -0.72766268, 0.05641856, 0.10613507, 11.93029308, -65.35493469, 48.76980972, -0.04442026, -0.09913154, -2.75005484, 0.99971163, 0.00040829, 0.00085553, 0.02399677, -0.00533780, 0.98801959, -0.78777730, 87.59900665, 1210.91101074, 39.34000015, 0.00000000
1, 0.0200, 2, 0.00478324, -0.98822236, -0.21274124, -0.78270745, 0.19321866, 0.10917956, 11.34525871, -64.38739014, 48.88399887, -0.05223780, -0.09977979, -2.74782372, 0.99971211, 0.00047661, 0.00085956, 0.02397737, -0.00651689, 0.98908174, -0.78725690, 87.59900665, 1210.91101074, 39.34000015, 0.00000000
1, 0.0300, 3, 0.00493331, -0.98892421, -0.21452919, -0.94266915, 0.08960897, 0.07233414, 11.34525871, -64.38739014, 48.88399887, -0.06165074, -0.10028967, -2.74670219, 0.99971223, 0.00055883, 0.00086205, 0.02396765, -0.00668098, 0.98993629, -0.78546876, 87.59900665, 1210.91101074, 39.34000015, 0.00000000
1, 0.0400, 4, 0.00770637, -0.98698604, -0.21303891, -0.83729964, 0.22652905, 0.14520353, 11.82060146, -66.23451233, 49.22657394, -0.07000248, -0.10121742, -2.74408102, 0.99971271, 0.00063186, 0.00086841, 0.02394485, -0.00946498, 0.98815465, -0.78695887, 87.59900665, 1210.91101074, 39.34000015, 0.00000000
1, 0.0500, 5, 0.00998756, -0.98586994, -0.21405211, -0.90791589, 0.15792833, 0.10882075, 12.33250427, -66.27849579, 49.43593216, -0.07906739, -0.10193868, -2.74219775, 0.99971312, 0.00071108, 0.00087282, 0.02392850, -0.01176265, 0.98718828, -0.78594542, 87.59900665, 1210.91101074, 39.34000015, 0.00000000
1, 0.0600, 6, 0.00939224, -0.98542184, -0.21402462, -1.10413957, 0.07090347, 0.09001328, 12.14968109, -65.75074005, 49.15044403, -0.08476666, -0.09966427, -2.81400418, 0.99969786, 0.00076086, 0.00085131, 0.02455497, -0.01116210, 0.98689365, -0.78597271, 87.59900665, 1210.91101074, 39.34000015, 0.00000000
1, 0.0700, 7, 0.01031069, -0.98422909, -0.21142149, -1.16079557, 0.22313705, 0.19885699, 12.29593849, -65.53085327, 48.63658524, -0.09634817, -0.10111738, -2.81125259, 0.99969834, 0.00086219, 0.00086152, 0.02453106, -0.01207287, 0.98583031, -0.78857571, 87.59900665, 1210.91101074, 39.34000015, 0.00000000
1, 0.0800, 8, 0.00873513, -0.98424762, -0.21171576, -1.33990645, 0.36067170, 0.09682667, 12.29593849, -65.53085327, 48.63658524, -0.10970961, -0.10128032, -2.80737758, 0.99969912, 0.00097876, 0.00086012, 0.02449736, -0.01050369, 0.98607653, -0.78828102, 87.59900665, 1210.91101074, 39.34000015, 0.00000000
1, 0.0900, 9, 0.00893719, -0.98430806, -0.21352932, -1.23009670, 0.22543982, 0.02333440, 11.74746990, -65.61880493, 48.82690430, -0.12199374, -0.10102076, -2.80499649, 0.99969947, 0.00108585, 0.00085525, 0.02447668, -0.01070158, 0.98635602, -0.78646708, 87.59900665, 1210.91101074, 39.34000015, 0.00000000
