SensorId, TimeStamp (s), FrameNumber, AccX (g), AccY (g), AccZ (g), GyroX (deg/s), GyroY (deg/s), GyroZ (deg/s), MagX (uT), MagY (uT), MagZ (uT), EulerX (deg), EulerY (deg), EulerZ (deg), QuatW, QuatX, QuatY, QuatZ, LinAccX (g), LinAccY (g), LinAccZ (g), Pressure (kPa), Altitude (m), Temperature (degC), HeaveMotion (m)
1, 0.0001, 0, 0.01910711, -0.97641319, -0.24129939, -0.33397138, -0.03508323, -0.17989461, 12.07655048, -63.28790665, 49.41689682, -0.64382505, -0.16511534, -2.78848243, 0.99968690, 0.00565179, 0.00130375, 0.02433937, -0.02200228, 0.98763263, -0.75863349, 87.60000610, 1210.81738281, 39.34000015, 0.00000000
1, 0.0101, 1, 0.01636031, -0.97879916, -0.24140804, -0.39066502, 0.25580528, -0.15602723, 11.74746990, -63.99157715, 49.13142014, -0.64768964, -0.16299298, -2.78627229, 0.99968731, 0.00568503, 0.00128452, 0.02432004, -0.01921751, 0.99008071, -0.75852430, 87.60000610, 1210.81738281, 39.34000015, 0.00000000
1, 0.0201, 2, 0.01615598, -0.97871161, -0.23937891, -0.31826505, 0.34385124, -0.25986761, 12.66158390, -64.78320312, 49.66431046, -0.65079993, -0.15965587, -2.78348231, 0.99968773, 0.00571143, 0.00125489, 0.02429556, -0.01896675, 0.99005079, -0.76055288, 87.60000610, 1210.81738281, 39.34000015, 0.00000000
1, 0.0301, 3, 0.01511787, -0.97892046, -0.24065325, -0.22838078, 0.29280978, -0.24363737, 12.66158390, -64.78320312, 49.66431046, -0.66452509, -0.17407610, -2.85043859, 0.99967253, 0.00583502, 0.00137437, 0.02488056, -0.01794634, 0.99035496, -0.75927740, 87.60000610, 1210.81738281, 39.34000015, 0.00000000
1, 0.0401, 4, 0.01706352, -0.97786307, -0.24213208, -0.30333465, 0.56583172, -0.18493314, 11.45495605, -63.94759750, 49.64528275, -0.66746449, -0.17093058, -2.84530091, 0.99967349, 0.00585992, 0.00134655, 0.02483561, -0.02007084, 0.98949391, -0.75779581, 87.60000610, 1210.81738281, 39.34000015, 0.00000000
1, 0.0501, 5, 0.01737370, -0.97656548, -0.24098095, -0.07574528, 0.50419903, -0.06099349, 11.45495605, -64.03556061, 49.55012131, -0.66811746, -0.16913982, -2.84052777, 0.99967456, 0.00586518, 0.00133103, 0.02479389, -0.02033205, 0.98822510, -0.75894678, 87.60000610, 1210.81738281, 39.34000015, 0.00000000
1, 0.0601, 6, 0.01827480, -0.97645098, -0.24161643, -0.24618457, 0.57273597, 0.01224339, 11.23556709, -63.72769928, 50.00689316, -0.67046195, -0.16789253, -2.83487463, 0.99967563, 0.00588529, 0.00131994, 0.02474454, -0.02121638, 0.98813438, -0.75831103, 87.60000610, 1210.81738281, 39.34000015, 0.00000000
1, 0.0701, 7, 0.01791382, -0.97722161, -0.24141052, -0.24753715, 0.64048743, 0.06640683, 11.93029308, -64.78320312, 49.72140503, -0.67281193, -0.16700272, -2.82844377, 0.99967694, 0.00590553, 0.00131200, 0.02468842, -0.02083582, 0.98894668, -0.75851649, 87.60000610, 1210.81738281, 39.34000015, 0.00000000
1, 0.0801, 8, 0.01692228, -0.97940934, -0.24085243, -0.23248817, 0.98397022, 0.05600379, 11.63777828, -64.78320312, 49.93076324, -0.67833763, -0.16947095, -2.88647056, 0.99966401, 0.00595494, 0.00132932, 0.02519482, -0.01983354, 0.99119127, -0.75907391, 87.60000610, 1210.81738281, 39.34000015, 0.00000000
1, 0.0901, 9, 0.01560143, -0.97959894, -0.24166819, -0.14640300, 1.18850088, 0.18308856, 11.63777828, -63.85964203, 49.93076324, -0.67954814, -0.16842484, -2.87446070, 0.99966657, 0.00596513, 0.00132056, 0.02509001, -0.01855113, 0.99145472, -0.75825721, 87.60000610, 1210.81738281, 39.34000015, 0.00000000
