SensorId, TimeStamp (s), FrameNumber, AccX (g), AccY (g), AccZ (g), GyroX (deg/s), GyroY (deg/s), GyroZ (deg/s), MagX (uT), MagY (uT), MagZ (uT), EulerX (deg), EulerY (deg), EulerZ (deg), QuatW, QuatX, QuatY, QuatZ, LinAccX (g), LinAccY (g), LinAccZ (g), Pressure (kPa), Altitude (m), Temperature (degC), HeaveMotion (m)
1, -0.0000, 0, -0.01571057, -0.93486410, -0.39827010, -0.99319017, -1.35404122, -1.13890326, 13.21005249, -64.25545502, 42.90795135, 1.27721262, -0.30559328, -0.52225316, 0.99992406, -0.01113324, 0.00271740, 0.00452748, 0.01033975, 0.91250372, -0.60146546, 87.60000610, 1210.81738281, 39.64999771, 0.00000000
1, 0.0100, 1, -0.01486395, -0.92941773, -0.39874485, -1.40183866, -1.42216301, -1.36760318, 13.57569790, -62.67220306, 43.11729813, 1.23541498, -0.30386263, -0.49092862, 0.99992931, -0.01076932, 0.00269771, 0.00425529, 0.00958790, 0.90739465, -0.60099864, 87.60000610, 1210.81738281, 39.64999771, 0.00000000
1, 0.0200, 2, -0.01553810, -0.92362577, -0.39935684, -1.65336573, -1.42470574, -1.33173025, 12.99066353, -62.93607712, 43.13633347, 1.21918619, -0.29696178, -0.50934976, 0.99993038, -0.01062754, 0.00263859, 0.00441706, 0.01030998, 0.90224630, -0.60040092, 87.60000610, 1210.81738281, 39.64999771, 0.00000000
1, 0.0300, 3, -0.01558055, -0.91660774, -0.40373766, -1.57836306, -1.54163349, -1.49262285, 12.99066353, -62.93607712, 43.13633347, 1.20372832, -0.28901464, -0.52946806, 0.99993110, -0.01049252, 0.00257049, 0.00459370, 0.01048497, 0.89549494, -0.59602642, 87.60000610, 1210.81738281, 39.64999771, 0.00000000
1, 0.0400, 4, -0.01546544, -0.91413784, -0.40365714, -1.45109677, -2.16273308, -1.22481704, 13.83164692, -64.51932526, 43.36471558, 1.18961954, -0.28590572, -0.55429721, 0.99993145, -0.01036898, 0.00254505, 0.00481096, 0.01046120, 0.89328849, -0.59611297, 87.60000610, 1210.81738281, 39.64999771, 0.00000000
1, 0.0500, 5, -0.01236976, -0.91277134, -0.40629041, -0.95064032, -2.19539189, -1.08640862, 13.02722931, -64.07953644, 43.06019974, 1.18050897, -0.28422931, -0.57883346, 0.99993122, -0.01028901, 0.00253224, 0.00502542, 0.00740303, 0.89211905, -0.59348404, 87.60000610, 1210.81738281, 39.64999771, 0.00000000
1, 0.0600, 6, -0.01278212, -0.91031200, -0.40603113, -0.61137933, -2.14240694, -1.01601958, 13.31974411, -63.24393463, 42.92698288, 1.11804307, -0.28650376, -0.55276853, 0.99993777, -0.00974440, 0.00254713, 0.00479916, 0.00781412, 0.89002270, -0.59375060, 87.60000610, 1210.81738281, 39.64999771, 0.00000000
1, 0.0700, 7, -0.01496648, -0.91116810, -0.40596879, -0.16484156, -2.05427170, -0.94521970, 13.17348671, -63.02403641, 43.04117203, 1.11675572, -0.28561243, -0.57538980, 0.99993694, -0.00973271, 0.00254122, 0.00499666, 0.00998026, 0.89167559, -0.59382880, 87.60000610, 1210.81738281, 39.64999771, 0.00000000
1, 0.0800, 8, -0.01741447, -0.91127354, -0.40541169, 0.53656977, -2.11567688, -1.05412674, 13.17348671, -63.02403641, 43.04117203, 1.12251318, -0.28395239, -0.59889579, 0.99993551, -0.00978250, 0.00252899, 0.00520179, 0.01244874, 0.89172781, -0.59438491, 87.60000610, 1210.81738281, 39.64999771, 0.00000000
1, 0.0900, 9, -0.01964985, -0.91437471, -0.40610451, 0.82560873, -2.26694155, -1.11092639, 13.50256634, -65.26697540, 43.49793625, 1.13117874, -0.28234220, -0.62399071, 0.99993360, -0.00985764, 0.00251749, 0.00542071, 0.01471190, 0.89469844, -0.59368980, 87.60000610, 1210.81738281, 39.64999771, 0.00000000
1, 0.1000, 10, -0.01768518, -0.91547841, -0.40581402, 1.22166598, -2.43537402, -1.11567926, 13.53913212, -64.69524384, 42.37504959, 1.14382362, -0.28132269, -0.65062118, 0.99993122, -0.00996745, 0.00251151, 0.00565290, 0.01277181, 0.89560282, -0.59397638, 87.60000610, 1210.81738281, 39.64999771, 0.00000000
1, 0.1100, 11, -0.01574092, -0.91797513, -0.40417996, 1.49069345, -2.51988745, -1.06554425, 13.17348671, -63.19995117, 42.81278610, 1.12877035, -0.28574699, -0.62793213, 0.99993354, -0.00983637, 0.00254743, 0.00545487, 0.01081491, 0.89797992, -0.59560800, 87.60000610, 1210.81738281, 39.64999771, 0.00000000
