SensorId, TimeStamp (s), FrameNumber, AccX (g), AccY (g), AccZ (g), GyroX (deg/s), GyroY (deg/s), GyroZ (deg/s), MagX (uT), MagY (uT), MagZ (uT), EulerX (deg), EulerY (deg), EulerZ (deg), QuatW, QuatX, QuatY, QuatZ, LinAccX (g), LinAccY (g), LinAccZ (g), Pressure (kPa), Altitude (m), Temperature (degC), HeaveMotion (m)
1, 0.0000, 0, -0.02145636, -0.94700199, -0.34426740, -0.04211016, 0.06249546, 0.12723640, 13.86821175, -65.04708099, 42.85084915, 69.35618591, -1.35684538, -175.90333557, -0.03612415, 0.01060423, -0.56890959, -0.82153791, -0.00221376, 0.01147223, -0.00818646, 87.59300232, 1211.47338867, 39.12999725, 0.00000000
1, 0.0100, 1, -0.02049174, -0.94704038, -0.34481099, -0.11052260, -0.19421266, 0.05173550, 13.86821175, -65.04708099, 42.85084915, 69.45350647, -1.33023798, -175.93270874, -0.03577249, 0.01067960, -0.56960464, -0.82107061, -0.00308089, 0.01136366, -0.00725823, 87.59300232, 1211.47338867, 39.12999725, 0.00000000
1, 0.0200, 2, -0.02011361, -0.94670826, -0.34621984, -0.23595726, -0.17775816, 0.03488696, 14.19729233, -64.82717896, 43.34568787, 69.45118713, -1.33118784, -175.93426514, -0.03576636, 0.01066439, -0.56958830, -0.82108241, -0.00311201, 0.01058112, -0.00467410, 87.59300232, 1211.47338867, 39.12999725, 0.00000000
1, 0.0300, 3, -0.02022171, -0.94585967, -0.34599954, -0.27084520, -0.41961110, 0.11780057, 14.41668034, -65.79473114, 43.44084167, 69.44855499, -1.33376372, -175.93778992, -0.03575420, 0.01062762, -0.56957030, -0.82109594, -0.00303689, 0.00974891, -0.00493597, 87.59300232, 1211.47338867, 39.12999725, 0.00000000
1, 0.0400, 4, -0.02195794, -0.94356430, -0.34624818, -0.41225532, -0.34897345, -0.07364306, 14.27041817, -64.29943085, 43.57406616, 69.44451904, -1.33429945, -175.94131470, -0.03573195, 0.01060499, -0.56954181, -0.82111698, -0.00132906, 0.00747609, -0.00474579, 87.59300232, 1211.47338867, 39.12999725, 0.00000000
1, 0.0500, 5, -0.02138648, -0.94217426, -0.34687811, -0.44955721, -0.29894271, -0.00216383, 14.16072655, -65.53085327, 43.68825912, 69.44010162, -1.33532941, -175.94410706, -0.03571736, 0.01058227, -0.56951052, -0.82113945, -0.00190768, 0.00611348, -0.00418852, 87.59300232, 1211.47338867, 39.12999725, 0.00000000
1, 0.0600, 6, -0.02301866, -0.94350195, -0.34536704, -0.36120322, -0.07439358, -0.05044824, 14.16072655, -65.53085327, 43.68825912, 69.46433258, -1.33858526, -175.96685791, -0.03556840, 0.01045347, -0.56968689, -0.82102525, -0.00029892, 0.00742324, -0.00564990, 87.59300232, 1211.47338867, 39.12999725, 0.00000000
1, 0.0700, 7, -0.02239469, -0.94364005, -0.34569967, -0.28033996, -0.10672349, -0.00193636, 13.83164692, -64.69524384, 43.28859329, 69.46154785, -1.33894062, -175.96784973, -0.03556320, 0.01044505, -0.56966710, -0.82103932, -0.00097204, 0.00745110, -0.00501984, 87.59300232, 1211.47338867, 39.12999725, 0.00000000
1, 0.0800, 8, -0.02235693, -0.94459975, -0.34472156, -0.37206158, 0.01149628, 0.07114292, 14.05103493, -65.26697540, 43.30761719, 69.45780945, -1.33956575, -175.96749878, -0.03556921, 0.01044118, -0.56964046, -0.82105768, -0.00101770, 0.00843444, -0.00606067, 87.59300232, 1211.47338867, 39.12999725, 0.00000000
1, 0.0900, 9, -0.02256095, -0.94476748, -0.34589419, -0.44380403, -0.04109789, 0.10541336, 14.19729233, -66.32247925, 43.38374710, 69.45336151, -1.34069681, -175.96751404, -0.03557512, 0.01043162, -0.56960887, -0.82107949, -0.00083108, 0.00862579, -0.00494979, 87.59300232, 1211.47338867, 39.12999725, 0.00000000
