SensorId, TimeStamp (s), FrameNumber, AccX (g), AccY (g), AccZ (g), GyroX (deg/s), GyroY (deg/s), GyroZ (deg/s), MagX (uT), MagY (uT), MagZ (uT), EulerX (deg), EulerY (deg), EulerZ (deg), QuatW, QuatX, QuatY, QuatZ, LinAccX (g), LinAccY (g), LinAccZ (g), Pressure (kPa), Altitude (m), Temperature (degC), HeaveMotion (m)
1, 0.0000, 0, -0.03285204, -0.93695939, -0.36573473, 0.90485740, 1.22332203, 0.72443378, 13.46600056, -66.71829224, 43.23149109, 0.41576740, 0.07130487, -1.75679982, 0.99987578, -0.00363736, -0.00056655, 0.01533252, 0.03410917, 0.92975748, -0.63423854, 87.59700775, 1211.09814453, 39.34999847, 0.00000000
1, 0.0100, 1, -0.03081914, -0.93493325, -0.36471340, 0.98941761, 1.46072555, 0.94010586, 13.83164692, -66.71829224, 42.96504593, 0.42521659, 0.06776209, -1.73952854, 0.99987769, -0.00371925, -0.00053494, 0.01518175, 0.03202157, 0.92757106, -0.63525879, 87.59700775, 1211.09814453, 39.34999847, 0.00000000
1, 0.0200, 2, -0.03041962, -0.93355155, -0.36694524, 0.86247396, 1.56208432, 0.97778183, 13.35630894, -65.44289398, 43.02214050, 0.43336609, 0.06423135, -1.72121632, 0.99987996, -0.00378981, -0.00050365, 0.01502189, 0.03156345, 0.92603934, -0.63302588, 87.59700775, 1211.09814453, 39.34999847, 0.00000000
1, 0.0300, 3, -0.02897813, -0.93531674, -0.36577293, 0.86145020, 1.64756167, 0.99716026, 13.35630894, -65.44289398, 43.02214050, 0.42796206, 0.05931806, -1.74262238, 0.99987727, -0.00374210, -0.00046079, 0.01520848, 0.03005553, 0.92772794, -0.63419765, 87.59700775, 1211.09814453, 39.34999847, 0.00000000
1, 0.0400, 4, -0.02762518, -0.93588257, -0.36733139, 0.85997903, 1.59381115, 1.13666117, 13.35630894, -65.39891052, 43.21246338, 0.43605465, 0.05441434, -1.72344196, 0.99987954, -0.00381199, -0.00041757, 0.01504099, 0.02861083, 0.92832625, -0.63263953, 87.59700775, 1211.09814453, 39.34999847, 0.00000000
1, 0.0500, 5, -0.02616974, -0.93639255, -0.36648843, 0.89426327, 1.71358860, 1.17423105, 13.50256634, -67.81777191, 43.06019974, 0.44445726, 0.04958342, -1.70299840, 0.99988198, -0.00388461, -0.00037501, 0.01486248, 0.02706642, 0.92868698, -0.63348150, 87.59700775, 1211.09814453, 39.34999847, 0.00000000
1, 0.0600, 6, -0.02484343, -0.93634957, -0.36604288, 0.71805143, 1.55981266, 1.04848921, 14.27041817, -67.42195129, 43.17439651, 0.45115343, 0.04537670, -1.68449008, 0.99988419, -0.00394244, -0.00033807, 0.01470086, 0.02566410, 0.92851269, -0.63392609, 87.59700775, 1211.09814453, 39.34999847, 0.00000000
1, 0.0700, 7, -0.02246648, -0.93597984, -0.36601427, 0.82652456, 1.54436374, 0.99509752, 13.75851536, -66.10257721, 43.13633347, 0.45894095, 0.04161134, -1.66628754, 0.99988621, -0.00400986, -0.00030485, 0.01454192, 0.02321751, 0.92802203, -0.63395381, 87.59700775, 1211.09814453, 39.34999847, 0.00000000
1, 0.0800, 8, -0.02207294, -0.93570793, -0.36548492, 0.90116084, 1.54836512, 0.78401351, 13.75851536, -66.10257721, 43.13633347, 0.45510826, 0.04512420, -1.68959916, 0.99988335, -0.00397693, -0.00033518, 0.01474544, 0.02280031, 0.92765749, -0.63448232, 87.59700775, 1211.09814453, 39.34999847, 0.00000000
1, 0.0900, 9, -0.02237533, -0.93708014, -0.36377507, 0.82973105, 1.46146524, 0.81756175, 13.24661255, -66.36645508, 42.92698288, 0.46296251, 0.04271756, -1.67281222, 0.99988526, -0.00404511, -0.00031376, 0.01459890, 0.02313539, 0.92905813, -0.63619244, 87.59700775, 1211.09814453, 39.34999847, 0.00000000
1, 0.1000, 10, -0.02234315, -0.93710876, -0.36386719, 0.92437905, 1.39871562, 0.49954334, 13.68538952, -66.05860138, 43.00310516, 0.47180557, 0.04305766, -1.65771508, 0.99988687, -0.00412227, -0.00031615, 0.01446721, 0.02309540, 0.92892766, -0.63609910, 87.59700775, 1211.09814453, 39.34999847, 0.00000000
1, 0.1100, 11, -0.02290593, -0.93936121, -0.36265877, 0.92562914, 1.26149356, 0.49665460, 14.08759975, -66.76226807, 42.92698288, 0.48070070, 0.04292754, -1.64391434, 0.99988824, -0.00419983, -0.00031439, 0.01434681, 0.02365718, 0.93103838, -0.63730633, 87.59700775, 1211.09814453, 39.34999847, 0.00000000
1, 0.1200, 12, -0.02396156, -0.93928933, -0.36239287, 1.01911819, 1.11068738, 0.31741500, 13.86821175, -67.64184570, 43.17439651, 0.49059051, 0.04392967, -1.63213396, 0.99988937, -0.00428622, -0.00032234, 0.01424408, 0.02471872, 0.93079448, -0.63757080, 87.59700775, 1211.09814453, 39.34999847, 0.00000000
1, 0.1300, 13, -0.02258662, -0.94088078, -0.36463535, 0.91234767, 0.88542444, 0.40089729, 13.86821175, -67.64184570, 43.17439651, 0.48709211, 0.05049346, -1.66233420, 0.99988574, -0.00425661, -0.00037893, 0.01450783, 0.02338270, 0.93226993, -0.63532728, 87.59700775, 1211.09814453, 39.34999847, 0.00000000
1, 0.1400, 14, -0.02216319, -0.94221592, -0.36464030, 0.64812696, 0.57685667, 0.25459215, 13.35630894, -67.11410522, 43.15536499, 0.49338880, 0.05017906, -1.65586722, 0.99988621, -0.00431149, -0.00037563, 0.01445141, 0.02304004, 0.93363827, -0.63532257, 87.59700775, 1211.09814453, 39.34999847, 0.00000000
1, 0.1500, 15, -0.02013490, -0.94397455, -0.36333847, 0.21995676, 0.33334148, 0.25078264, 13.17348671, -65.97064209, 42.98407745, 0.49547398, 0.04903299, -1.65179706, 0.99988675, -0.00432953, -0.00036552, 0.01441586, 0.02099933, 0.93533683, -0.63662380, 87.59700775, 1211.09814453, 39.34999847, 0.00000000
1, 0.1600, 16, -0.01867603, -0.94711941, -0.36165282, -0.20520057, 0.16273555, -0.01517780, 13.53913212, -65.53085327, 42.96504593, 0.49338722, 0.04975533, -1.65038395, 0.99988693, -0.00431141, -0.00037214, 0.01440355, 0.01953167, 0.93849063, -0.63830960, 87.59700775, 1211.09814453, 39.34999847, 0.00000000
1, 0.1700, 17, -0.02147522, -0.94375664, -0.35898244, 0.01306065, 0.20274101, -0.26110095, 13.79508114, -65.39891052, 42.98407745, 0.49350464, 0.05291744, -1.64942098, 0.99988705, -0.00431283, -0.00039975, 0.01439526, 0.02237518, 0.93514812, -0.64098012, 87.59700775, 1211.09814453, 39.34999847, 0.00000000
1, 0.1800, 18, -0.02054415, -0.94172412, -0.35941923, -0.43118706, -0.05606185, -0.38823077, 13.79508114, -65.39891052, 42.98407745, 0.48274961, 0.07178096, -1.69299245, 0.99988180, -0.00422157, -0.00056410, 0.01477611, 0.02157457, 0.93317944, -0.64054376, 87.59700775, 1211.09814453, 39.34999847, 0.00000000
1, 0.1900, 19, -0.02056144, -0.94333088, -0.35804635, -0.80533624, -0.35089996, -0.37570623, 13.50256634, -66.41043091, 43.23149109, 0.47480887, 0.07403661, -1.69783425, 0.99988151, -0.00415259, -0.00058463, 0.01481840, 0.02183452, 0.93499058, -0.64191806, 87.59700775, 1211.09814453, 39.34999847, 0.00000000
