SensorId, TimeStamp (s), FrameNumber, AccX (g), AccY (g), AccZ (g), GyroX (deg/s), GyroY (deg/s), GyroZ (deg/s), MagX (uT), MagY (uT), MagZ (uT), EulerX (deg), EulerY (deg), EulerZ (deg), QuatW, QuatX, QuatY, QuatZ, LinAccX (g), LinAccY (g), LinAccZ (g), Pressure (kPa), Altitude (m), Temperature (degC), HeaveMotion (m)
1, 0.0000, 0, 0.02777478, -0.93811870, -0.36348087, -0.32617721, -0.43612719, 0.11762411, 15.73299980, -60.07742691, 41.30925751, 0.26886538, 3.51692796, 1.02913094, 0.99948668, -0.00206951, -0.03070590, -0.00890449, 0.03358488, 0.93341017, -0.63462371, 87.58000183, 1212.69104004, 36.59000015, 0.00000000
1, 0.0100, 1, 0.02717645, -0.93950152, -0.36334348, -0.25500596, -0.40154546, 0.13571166, 15.51361179, -60.38528061, 40.94765091, 0.26625198, 3.51422381, 1.02575314, 0.99948776, -0.00204783, -0.03068205, -0.00887579, 0.03413669, 0.93485475, -0.63476425, 87.58000183, 1212.69104004, 36.59000015, 0.00000000
1, 0.0200, 2, 0.02658376, -0.93769395, -0.36250627, -0.00613544, -0.10740564, 0.10597744, 15.51361179, -60.38528061, 41.72796249, 0.26617575, 3.51285386, 1.02512193, 0.99948817, -0.00204744, -0.03067008, -0.00887033, 0.03469354, 0.93305969, -0.63560379, 87.58000183, 1212.69104004, 36.59000015, 0.00000000
1, 0.0300, 3, 0.02613245, -0.93883789, -0.36190400, 0.27909967, 0.23962007, 0.00693058, 14.89201736, -61.57272339, 41.72796249, 0.25911161, 3.55127597, 1.06203127, 0.99947500, -0.00197282, -0.03100529, -0.00919330, 0.03531147, 0.93421710, -0.63619578, 87.58000183, 1212.69104004, 36.59000015, 0.00000000
1, 0.0400, 4, 0.02534432, -0.93692589, -0.36011434, 0.25741795, 0.65114594, 0.01564875, 15.18453217, -61.00099564, 41.27119446, 0.26180977, 3.55346632, 1.06828463, 0.99947381, -0.00199448, -0.03102472, -0.00924706, 0.03661940, 0.93238336, -0.63795376, 87.58000183, 1212.69104004, 36.59000015, 0.00000000
1, 0.0500, 5, 0.02533478, -0.93524420, -0.35847166, 0.34808323, 0.51434064, 0.03007351, 15.36735439, -61.52874374, 41.42345047, 0.26538464, 3.55503130, 1.07334745, 0.99947298, -0.00202416, -0.03103875, -0.00929022, 0.03666721, 0.93065572, -0.63959384, 87.58000183, 1212.69104004, 36.59000015, 0.00000000
1, 0.0600, 6, 0.02692547, -0.93625939, -0.35440013, 0.42048848, 0.35966879, 0.07933511, 15.65986919, -61.35282516, 41.29022598, 0.26966345, 3.55557704, 1.07717550, 0.99947238, -0.00206040, -0.03104392, -0.00932243, 0.03509250, 0.93158829, -0.64366400, 87.58000183, 1212.69104004, 36.59000015, 0.00000000
1, 0.0700, 7, 0.02745582, -0.93863374, -0.35413447, 0.41964224, 0.23730695, 0.21739163, 14.78232574, -60.69313812, 41.21409988, 0.27391890, 3.55440497, 1.08034217, 0.99947244, -0.00209676, -0.03103411, -0.00934893, 0.03454821, 0.93388760, -0.64393014, 87.58000183, 1212.69104004, 36.59000015, 0.00000000
1, 0.0800, 8, 0.02506443, -0.94148850, -0.35513484, 0.45455155, 0.28847358, 0.25351712, 14.78232574, -60.69313812, 41.21409988, 0.29477096, 3.57420135, 1.12293112, 0.99946308, -0.00226539, -0.03120932, -0.00971425, 0.03700971, 0.93659747, -0.64292473, 87.58000183, 1212.69104004, 36.59000015, 0.00000000
1, 0.0900, 9, 0.02852682, -0.94289213, -0.35572246, 0.25550425, 0.21544942, 0.42837396, 15.76956558, -60.51721954, 41.51861191, 0.29739025, 3.57097983, 1.12658775, 0.99946362, -0.00228752, -0.03118151, -0.00974551, 0.03378256, 0.93773073, -0.64232105, 87.58000183, 1212.69104004, 36.59000015, 0.00000000
