SensorId, TimeStamp (s), FrameNumber, AccX (g), AccY (g), AccZ (g), GyroX (deg/s), GyroY (deg/s), GyroZ (deg/s), MagX (uT), MagY (uT), MagZ (uT), EulerX (deg), EulerY (deg), EulerZ (deg), QuatW, QuatX, QuatY, QuatZ, LinAccX (g), LinAccY (g), LinAccZ (g), Pressure (kPa), Altitude (m), Temperature (degC), HeaveMotion (m)
1, 0.0000, 0, -0.00179169, -0.93246925, -0.37631685, 0.14788947, -0.38991910, -0.55357867, 13.64882374, -63.85964203, 42.08957291, 0.79339111, 0.36715487, -0.56592888, 0.99995863, -0.00693929, -0.00316972, 0.00496068, 0.00834398, 0.91852337, -0.62356436, 87.60000610, 1210.81738281, 40.00999832, 0.00000000
1, 0.0100, 1, -0.00404428, -0.93333822, -0.37548617, 0.34513673, -0.38837153, -0.55414969, 13.02722931, -63.85964203, 42.31795502, 0.79684168, 0.37082976, -0.57159740, 0.99995804, -0.00696972, -0.00320129, 0.00501046, 0.01049345, 0.91946024, -0.62439680, 87.60000610, 1210.81738281, 40.00999832, 0.00000000
1, 0.0200, 2, -0.00282888, -0.93280202, -0.37746897, 0.31005490, -0.47441679, -0.55585128, 13.57569790, -66.01461792, 42.31795502, 0.79992127, 0.37419522, -0.57807451, 0.99995750, -0.00699692, -0.00323013, 0.00506727, 0.00933728, 0.91886401, -0.62241268, 87.60000610, 1210.81738281, 40.00999832, 0.00000000
1, 0.0300, 3, -0.00260882, -0.93099844, -0.37757671, 0.44946605, -0.21800561, -0.42783901, 13.21005249, -64.34340668, 42.43214417, 0.80440873, 0.37734094, -0.58168888, 0.99995703, -0.00703632, -0.00325716, 0.00509913, 0.00917307, 0.91699207, -0.62230366, 87.60000610, 1210.81738281, 40.00999832, 0.00000000
1, 0.0400, 4, -0.00102979, -0.93015730, -0.37921494, 0.65066850, -0.48918310, -0.53962564, 13.42943573, -65.31095886, 42.27989578, 0.81090677, 0.38050136, -0.58822745, 0.99995625, -0.00709335, -0.00328404, 0.00515657, 0.00764812, 0.91604960, -0.62066364, 87.60000610, 1210.81738281, 40.00999832, 0.00000000
1, 0.0500, 5, 0.00264120, -0.92890012, -0.38015041, 0.86778736, -0.48520249, -0.68083280, 13.42943573, -65.31095886, 42.27989578, 0.80545837, 0.38537404, -0.62720650, 0.99995464, -0.00704715, -0.00332441, 0.00549685, 0.00405060, 0.91471469, -0.61972654, 87.60000610, 1210.81738281, 40.00999832, 0.00000000
1, 0.0600, 6, 0.00020205, -0.92625350, -0.38209650, 0.86681730, -0.48634869, -0.61054075, 13.24661255, -63.72769928, 42.05150604, 0.81409991, 0.38920501, -0.63397586, 0.99995357, -0.00712294, -0.00335701, 0.00555641, 0.00656606, 0.91210634, -0.61778045, 87.60000610, 1210.81738281, 40.00999832, 0.00000000
1, 0.0700, 7, -0.00031044, -0.92749596, -0.38503399, 0.97301668, -0.27909821, -0.64166516, 12.95409870, -63.24393463, 42.08957291, 0.82381803, 0.39410064, -0.63893896, 0.99995255, -0.00720813, -0.00339894, 0.00560031, 0.00715905, 0.91318560, -0.61484015, 87.60000610, 1210.81738281, 40.00999832, 0.00000000
1, 0.0800, 8, -0.00210195, -0.92889249, -0.37921757, 1.04378915, -0.22765021, -0.60564345, 12.80784130, -64.47534943, 42.35601807, 0.83425248, 0.39885822, -0.64328396, 0.99995166, -0.00729954, -0.00343967, 0.00563884, 0.00902944, 0.91440713, -0.62065351, 87.60000610, 1210.81738281, 40.00999832, 0.00000000
1, 0.0900, 9, -0.00210116, -0.93599403, -0.37342250, 0.84529692, -0.33469334, -0.44908175, 13.24661255, -65.31095886, 42.58440399, 0.84269500, 0.40176347, -0.64804322, 0.99995071, -0.00737350, -0.00346430, 0.00568081, 0.00909561, 0.92134082, -0.62644565, 87.60000610, 1210.81738281, 40.00999832, 0.00000000
1, 0.1000, 10, -0.00054572, -0.94234639, -0.37714326, 0.45198241, -0.44041848, -0.46767926, 13.21005249, -65.31095886, 42.14667130, 0.85417300, 0.39700562, -0.68686014, 0.99994814, -0.00747458, -0.00341968, 0.00601957, 0.00755526, 0.92754918, -0.62272269, 87.60000610, 1210.81738281, 40.00999832, 0.00000000
