SensorId, TimeStamp (s), FrameNumber, AccX (g), AccY (g), AccZ (g), GyroX (deg/s), GyroY (deg/s), GyroZ (deg/s), MagX (uT), MagY (uT), MagZ (uT), EulerX (deg), EulerY (deg), EulerZ (deg), QuatW, QuatX, QuatY, QuatZ, LinAccX (g), LinAccY (g), LinAccZ (g), Pressure (kPa), Altitude (m), Temperature (degC), HeaveMotion (m)
1, 0.0000, 0, 0.02025568, -0.93914187, -0.33990940, -0.31613222, -0.40660769, 0.02153335, 13.35630894, -61.83659363, 43.40278244, 0.13142225, -0.01624579, -2.85522604, 0.99968898, -0.00114299, 0.00017030, 0.02491378, -0.02053326, 0.93683255, -0.66008788, 87.59600067, 1211.19250488, 39.50999832, 0.00000000
1, 0.0100, 1, 0.01817213, -0.93670774, -0.33960703, -0.27878150, -0.30054414, -0.15213418, 13.79508114, -61.70465851, 43.17439651, 0.13993806, -0.01554803, -2.90870738, 0.99967718, -0.00121735, 0.00016663, 0.02538034, -0.01845514, 0.93439555, -0.66039026, 87.59600067, 1211.19250488, 39.50999832, 0.00000000
1, 0.0200, 2, 0.01564212, -0.94069570, -0.34040168, -0.27675530, -0.28081241, -0.30993035, 14.85545158, -63.72769928, 43.51697159, 0.13711113, -0.01361400, -2.91237712, 0.99967641, -0.00119311, 0.00014917, 0.02541238, -0.01589166, 0.93828094, -0.65959537, 87.59600067, 1211.19250488, 39.50999832, 0.00000000
1, 0.0300, 3, 0.01631986, -0.94487542, -0.33956274, -0.24255726, -0.17847405, -0.25514853, 14.85545158, -63.72769928, 43.51697159, 0.13464555, -0.01184187, -2.91488838, 0.99967587, -0.00117199, 0.00013319, 0.02543431, -0.01653899, 0.94250762, -0.66043442, 87.59600067, 1211.19250488, 39.50999832, 0.00000000
1, 0.0400, 4, 0.01663986, -0.94771188, -0.33917961, -0.31570604, -0.07669327, -0.21762827, 14.85545158, -62.45230865, 43.63116455, 0.13146494, -0.01006722, -2.91630769, 0.99967557, -0.00114464, 0.00011702, 0.02544671, -0.01682538, 0.94540048, -0.66081774, 87.59600067, 1211.19250488, 39.50999832, 0.00000000
1, 0.0500, 5, 0.01396169, -0.95020974, -0.33987290, -0.22868335, 0.02492095, -0.09271003, 14.48980618, -63.37586975, 43.68825912, 0.12917534, -0.00910684, -2.91635728, 0.99967563, -0.00112488, 0.00010813, 0.02544716, -0.01412645, 0.94793755, -0.66012448, 87.59600067, 1211.19250488, 39.50999832, 0.00000000
1, 0.0600, 6, 0.01313614, -0.94910002, -0.33947396, 0.01998219, 0.18011928, -0.01989480, 13.79508114, -62.40832901, 43.66922760, 0.16798522, -0.03262115, -2.96453047, 0.99966431, -0.00145809, 0.00032250, 0.02586707, -0.01339299, 0.94667512, -0.66052300, 87.59600067, 1211.19250488, 39.50999832, 0.00000000
1, 0.0700, 7, 0.01042562, -0.94524646, -0.34086052, 0.11014139, 0.23342724, -0.08936322, 14.12416077, -62.89209366, 43.40278244, 0.16912335, -0.03097906, -2.96267009, 0.99966472, -0.00146840, 0.00030841, 0.02585086, -0.01097510, 0.94230139, -0.65913498, 87.59600067, 1211.19250488, 39.50999832, 0.00000000
1, 0.0800, 8, 0.01131073, -0.94078982, -0.34038815, 0.19510402, 0.24077186, -0.03838272, 13.64882374, -62.89209366, 43.65019608, 0.17110439, -0.02978637, -2.96057820, 0.99966514, -0.00148595, 0.00029842, 0.02583262, -0.01183921, 0.93781161, -0.65960729, 87.59600067, 1211.19250488, 39.50999832, 0.00000000
1, 0.0900, 9, 0.01346160, -0.93871492, -0.34241128, 0.26456136, 0.22131634, 0.13677885, 13.64882374, -61.88057327, 43.65019608, 0.17379862, -0.03029825, -2.95807958, 0.99966568, -0.00150935, 0.00030346, 0.02581081, -0.01398968, 0.93570000, -0.65758401, 87.59600067, 1211.19250488, 39.50999832, 0.00000000
