SensorId, TimeStamp (s), FrameNumber, AccX (g), AccY (g), AccZ (g), GyroX (deg/s), GyroY (deg/s), GyroZ (deg/s), MagX (uT), MagY (uT), MagZ (uT), EulerX (deg), EulerY (deg), EulerZ (deg), QuatW, QuatX, QuatY, QuatZ, LinAccX (g), LinAccY (g), LinAccZ (g), Pressure (kPa), Altitude (m), Temperature (degC), HeaveMotion (m)
1, 0.0000, 0, -0.03570076, -0.94634342, -0.33724925, -0.04889604, 0.97998244, -0.00671441, 13.86821175, -58.62611389, 40.66217041, 0.41069338, 0.13127482, 2.79851055, 0.99969482, -0.00355492, -0.00123276, -0.02441490, 0.03796846, 0.93916667, -0.66272247, 87.59100342, 1211.66052246, 41.20000076, 0.00000000
1, 0.0100, 1, -0.03901415, -0.94945121, -0.33853844, -0.21359399, 1.23486173, 0.06946129, 14.56293774, -59.02192688, 40.85249329, 0.40816027, 0.13483813, 2.81027794, 0.99969244, -0.00353193, -0.00126367, -0.02451748, 0.04133839, 0.94230431, -0.66143334, 87.59100342, 1211.66052246, 41.20000076, 0.00000000
1, 0.0200, 2, -0.03726389, -0.95134348, -0.34068668, -0.33585495, 1.06435502, -0.05679746, 14.19729233, -59.46171951, 41.21409988, 0.40446770, 0.13900244, 2.81995940, 0.99969041, -0.00349872, -0.00129950, -0.02460185, 0.03966450, 0.94426429, -0.65928543, 87.59100342, 1211.66052246, 41.20000076, 0.00000000
1, 0.0300, 3, -0.03343900, -0.95291519, -0.33991775, -0.11956081, 0.75528741, 0.05909114, 14.19729233, -59.46171951, 41.21409988, 0.42358431, 0.14363758, 2.91320229, 0.99966943, -0.00366340, -0.00134702, -0.02541491, 0.03589743, 0.94578195, -0.66005379, 87.59100342, 1211.66052246, 41.20000076, 0.00000000
1, 0.0400, 4, -0.03196772, -0.95204079, -0.33986464, -0.27767482, 0.09906382, 0.23914002, 13.35630894, -58.88999176, 40.96668243, 0.42075345, 0.14173307, 2.91485190, 0.99966908, -0.00363911, -0.00132983, -0.02542940, 0.03445695, 0.94467688, -0.66010517, 87.59100342, 1211.66052246, 41.20000076, 0.00000000
1, 0.0500, 5, -0.02921133, -0.95127368, -0.34152126, -0.29298240, -0.29673675, 0.30117884, 13.64882374, -58.88999176, 41.02378082, 0.41788560, 0.13789198, 2.91298842, 0.99966967, -0.00361496, -0.00129563, -0.02541330, 0.03164771, 0.94395715, -0.65844893, 87.59100342, 1211.66052246, 41.20000076, 0.00000000
1, 0.0600, 6, -0.02719458, -0.94758320, -0.34168816, -0.55936968, -0.55585217, 0.27896807, 14.78232574, -59.98946762, 41.34732437, 0.41244039, 0.13337269, 2.90851092, 0.99967092, -0.00356851, -0.00125486, -0.02537445, 0.02955122, 0.94034594, -0.65828288, 87.59100342, 1211.66052246, 41.20000076, 0.00000000
1, 0.0700, 7, -0.02746032, -0.94412756, -0.33868176, -0.68299943, -0.71063876, 0.24093558, 13.68538952, -60.78109741, 40.68120193, 0.40581393, 0.12867849, 2.90242171, 0.99967253, -0.00351181, -0.00121225, -0.02532154, 0.02973244, 0.93699926, -0.66129017, 87.59100342, 1211.66052246, 41.20000076, 0.00000000
1, 0.0800, 8, -0.02863166, -0.94224358, -0.33545035, -0.64665627, -0.46706653, 0.05258375, 13.68538952, -60.78109741, 40.68120193, 0.42349800, 0.13734575, 2.98162341, 0.99965411, -0.00366327, -0.00129430, -0.02601200, 0.03089535, 0.93512774, -0.66452175, 87.59100342, 1211.66052246, 41.20000076, 0.00000000
1, 0.0900, 9, -0.02964631, -0.94104880, -0.33480674, -0.39948830, 0.06778521, -0.00724118, 13.97790337, -58.27427673, 41.00474548, 0.41949165, 0.13764407, 2.98208094, 0.99965417, -0.00362825, -0.00129601, -0.02601603, 0.03204536, 0.93370795, -0.66516340, 87.59100342, 1211.66052246, 41.20000076, 0.00000000
1, 0.1000, 10, -0.03132439, -0.94020820, -0.33555749, -0.13013718, 0.24371558, -0.14499311, 13.94133854, -58.80202866, 40.79539490, 0.41812950, 0.13983865, 2.98383284, 0.99965382, -0.00361585, -0.00131490, -0.02603126, 0.03374696, 0.93290484, -0.66441292, 87.59100342, 1211.66052246, 41.20000076, 0.00000000
1, 0.1100, 11, -0.03364484, -0.94128257, -0.33728278, -0.03803794, 0.29931596, -0.35504568, 13.97790337, -58.09836197, 40.71926498, 0.41769937, 0.14420548, 2.98542666, 0.99965340, -0.00361108, -0.00135295, -0.02604503, 0.03613238, 0.93399334, -0.66268754, 87.59100342, 1211.66052246, 41.20000076, 0.00000000
1, 0.1200, 12, -0.03693420, -0.94230002, -0.34163362, 0.28767782, 0.16663200, -0.48187995, 13.90477753, -61.26486588, 41.17603302, 0.42058393, 0.14929666, 2.98544550, 0.99965322, -0.00363509, -0.00139802, -0.02604499, 0.03950983, 0.93498659, -0.65833628, 87.59100342, 1211.66052246, 41.20000076, 0.00000000
1, 0.1300, 13, -0.03760187, -0.94320041, -0.34515494, 0.39655492, -0.10840099, -0.40010384, 13.90477753, -61.26486588, 41.17603302, 0.41934019, 0.13702020, 3.06535411, 0.99963498, -0.00362613, -0.00129317, -0.02674249, 0.04018103, 0.93584108, -0.65481460, 87.59100342, 1211.66052246, 41.20000076, 0.00000000
1, 0.1400, 14, -0.03697886, -0.94544810, -0.34510273, 0.25463250, -0.38511702, -0.33517393, 14.12416077, -60.73711777, 40.92861938, 0.42204013, 0.13885605, 3.06067705, 0.99963593, -0.00364931, -0.00130967, -0.02670160, 0.03939377, 0.93809772, -0.65486729, 87.59100342, 1211.66052246, 41.20000076, 0.00000000
1, 0.1500, 15, -0.03550993, -0.94838077, -0.34135398, 0.30718210, -0.49019057, -0.17933901, 13.94133854, -60.03344727, 40.89055252, 0.42528728, 0.13887130, 3.05557060, 0.99963701, -0.00367769, -0.00131039, -0.02665702, 0.03793659, 0.94098264, -0.65861577, 87.59100342, 1211.66052246, 41.20000076, 0.00000000
