SensorId, TimeStamp (s), FrameNumber, AccX (g), AccY (g), AccZ (g), GyroX (deg/s), GyroY (deg/s), GyroZ (deg/s), MagX (uT), MagY (uT), MagZ (uT), EulerX (deg), EulerY (deg), EulerZ (deg), QuatW, QuatX, QuatY, QuatZ, LinAccX (g), LinAccY (g), LinAccZ (g), Pressure (kPa), Altitude (m), Temperature (degC), HeaveMotion (m)
1, 0.0000, 0, -0.02666842, -0.93290609, -0.38345304, 0.59919822, -0.17369422, 0.21918774, 14.48980618, -59.10988617, 38.03575134, 1.60879660, 1.37463725, 1.31057441, 0.99976611, -0.01389983, -0.01215426, -0.01126632, 0.04964732, 0.90656817, -0.61593527, 87.60900116, 1209.97497559, 39.38999939, 0.00000000
1, 0.0100, 1, -0.03023663, -0.93751121, -0.38475579, 0.08494306, -0.62174040, 0.08829348, 14.85545158, -59.98946762, 38.09284973, 1.60983992, 1.37133515, 1.30528998, 0.99976683, -0.01390983, -0.01212491, -0.01122051, 0.05419466, 0.90942293, -0.61456251, 87.60900116, 1209.97497559, 39.38999939, 0.00000000
1, 0.0200, 2, -0.03440851, -0.93636990, -0.38759309, -0.35647586, -1.13726175, -0.07939881, 15.36735439, -62.36434555, 38.16897583, 1.60669923, 1.36751986, 1.29433882, 0.99976861, -0.01388396, -0.01208999, -0.01112577, 0.05829629, 0.90831256, -0.61172771, 87.60900116, 1209.97497559, 39.38999939, 0.00000000
1, 0.0300, 3, -0.03650068, -0.93395680, -0.38987550, -0.85259449, -1.44622564, -0.31289440, 15.36735439, -62.36434555, 38.16897583, 1.59874594, 1.36461651, 1.27933228, 0.99977136, -0.01381644, -0.01206208, -0.01099604, 0.06033006, 0.90600979, -0.60944986, 87.60900116, 1209.97497559, 39.38999939, 0.00000000
1, 0.0400, 4, -0.03794815, -0.93113577, -0.39230180, -0.99058312, -1.80498028, -0.47821927, 15.29422855, -60.73711777, 38.49252319, 1.58956349, 1.36179316, 1.26027858, 0.99977452, -0.01373861, -0.01203428, -0.01083112, 0.06172733, 0.90334678, -0.60702914, 87.60900116, 1209.97497559, 39.38999939, 0.00000000
1, 0.0500, 5, -0.03655570, -0.92834830, -0.39380503, -0.75641632, -1.78456593, -0.56639814, 15.36735439, -60.34130478, 38.60671234, 1.59033942, 1.36154628, 1.27140987, 0.99977350, -0.01374424, -0.01203354, -0.01092818, 0.06030804, 0.90065837, -0.60552931, 87.60900116, 1209.97497559, 39.38999939, 0.00000000
1, 0.0600, 6, -0.03796128, -0.92515606, -0.39456668, -0.23829222, -1.62668419, -0.52950770, 14.85545158, -60.78109741, 38.72090530, 1.58861589, 1.35988998, 1.25425923, 0.99977541, -0.01373116, -0.01201687, -0.01077893, 0.06170248, 0.89744115, -0.60476720, 87.60900116, 1209.97497559, 39.38999939, 0.00000000
1, 0.0700, 7, -0.03803829, -0.92194784, -0.39509839, 0.15073325, -1.02324200, -0.51801139, 14.74575996, -59.63763428, 37.99768829, 1.59057999, 1.36054099, 1.24292719, 0.99977618, -0.01374942, -0.01202137, -0.01067978, 0.06177263, 0.89421362, -0.60423517, 87.60900116, 1209.97497559, 39.38999939, 0.00000000
1, 0.0800, 8, -0.03708623, -0.92059278, -0.39310908, 0.10640488, -0.44405434, -0.27718109, 14.74575996, -59.63763428, 37.99768829, 1.59185135, 1.36130214, 1.23781955, 0.99977648, -0.01376098, -0.01202752, -0.01063499, 0.06083491, 0.89283109, -0.60622334, 87.60900116, 1209.97497559, 39.38999939, 0.00000000
1, 0.0900, 9, -0.03600062, -0.91906536, -0.39622465, -0.00509115, -0.01607920, -0.26784223, 14.67262936, -58.71406937, 38.05478668, 1.59185922, 1.36369240, 1.23660266, 0.99977630, -0.01376094, -0.01204823, -0.01062408, 0.05978673, 0.89129770, -0.60310668, 87.60900116, 1209.97497559, 39.38999939, 0.00000000
1, 0.1000, 10, -0.03680702, -0.91716135, -0.39591214, -0.04508193, 0.22148582, -0.12209890, 14.96514320, -60.82507324, 38.37833023, 1.62997961, 1.38762903, 1.27088821, 0.99976599, -0.01408757, -0.01226482, -0.01091620, 0.06072475, 0.88922298, -0.60341126, 87.60900116, 1209.97497559, 39.38999939, 0.00000000
1, 0.1100, 11, -0.03752195, -0.91783220, -0.39066333, 0.04207563, 0.49663362, -0.11658092, 14.52637196, -61.48476028, 38.35929489, 1.63024735, 1.39067984, 1.27500021, 0.99976522, -0.01408917, -0.01229196, -0.01095167, 0.06176699, 0.88939285, -0.60863811, 87.60900116, 1209.97497559, 39.38999939, 0.00000000
1, 0.1200, 12, -0.03559486, -0.92212868, -0.39095002, 0.08001893, 0.43002316, -0.22356728, 15.00170898, -60.95701218, 38.58768082, 1.63092339, 1.39444387, 1.27808595, 0.99976444, -0.01409436, -0.01232524, -0.01097804, 0.05990772, 0.89369392, -0.60834986, 87.60900116, 1209.97497559, 39.38999939, 0.00000000
1, 0.1300, 13, -0.03508884, -0.92512351, -0.39395049, 0.47680360, 0.26245022, -0.28103936, 15.00170898, -60.95701218, 38.58768082, 1.63563967, 1.39805841, 1.27966499, 0.99976337, -0.01413498, -0.01235743, -0.01099086, 0.05946380, 0.89662838, -0.60534620, 87.60900116, 1209.97497559, 39.38999939, 0.00000000
1, 0.1400, 14, -0.03263883, -0.92844021, -0.39203987, 1.05207396, 0.02595372, -0.23503672, 15.11140537, -58.84601212, 38.24510574, 1.64618897, 1.40029585, 1.27962649, 0.99976182, -0.01422681, -0.01237796, -0.01098910, 0.05706051, 0.89979208, -0.60725129, 87.60900116, 1209.97497559, 39.38999939, 0.00000000
1, 0.1500, 15, -0.03201189, -0.93114644, -0.38796023, 1.08827126, -0.19875681, -0.11682356, 14.70919418, -59.32978439, 37.67414474, 1.71701992, 1.41871142, 1.31410134, 0.99974757, -0.01483917, -0.01254988, -0.01127979, 0.05653249, 0.90204227, -0.61131519, 87.60900116, 1209.97497559, 39.38999939, 0.00000000
1, 0.1600, 16, -0.03257155, -0.93080962, -0.38464093, 0.72880965, -0.27190089, -0.01179156, 14.41668034, -58.62611389, 37.57898331, 1.72439826, 1.41772258, 1.31203020, 0.99974692, -0.01490387, -0.01254171, -0.01126105, 0.05732279, 0.90077198, -0.61460131, 87.60900116, 1209.97497559, 39.38999939, 0.00000000
1, 0.1700, 17, -0.03317129, -0.92892116, -0.38312629, 0.29831687, -0.44881088, 0.10885455, 15.14796638, -60.56120300, 38.22607422, 1.72752452, 1.41493416, 1.30853915, 0.99974716, -0.01493181, -0.01251723, -0.01123062, 0.05788327, 0.89880037, -0.61611450, 87.60900116, 1209.97497559, 39.38999939, 0.00000000
1, 0.1800, 18, -0.03731008, -0.92887396, -0.38418654, 0.08230810, -0.52082956, 0.21347126, 15.14796638, -60.56120300, 38.22607422, 1.72848380, 1.41090083, 1.30466402, 0.99974781, -0.01494101, -0.01248163, -0.01119724, 0.06196038, 0.89872408, -0.61505485, 87.60900116, 1209.97497559, 39.38999939, 0.00000000
1, 0.1900, 19, -0.04054607, -0.92691505, -0.38577700, 0.12104882, -0.62117249, 0.07061662, 14.92858315, -60.69313812, 38.45445633, 1.72989070, 1.40777373, 1.29933882, 0.99974853, -0.01495418, -0.01245379, -0.01115104, 0.06513843, 0.89674735, -0.61346525, 87.60900116, 1209.97497559, 39.38999939, 0.00000000
1, 0.2000, 20, -0.03939985, -0.93004400, -0.38738686, 0.22823949, -0.60346204, 0.08823930, 14.89201736, -59.98946762, 38.51155472, 1.78007483, 1.39395893, 1.33256507, 0.99973994, -0.01538982, -0.01234261, -0.01143735, 0.06388585, 0.89963043, -0.61185050, 87.60900116, 1209.97497559, 39.38999939, 0.00000000
1, 0.2100, 21, -0.03908286, -0.93068916, -0.39071104, -0.16092002, -0.60025305, -0.29722527, 14.70919418, -60.47323990, 38.22607422, 1.77873349, 1.39430535, 1.32578027, 0.99974084, -0.01537881, -0.01234459, -0.01137826, 0.06341274, 0.89964843, -0.60851097, 87.60900116, 1209.97497559, 39.38999939, 0.00000000
1, 0.2200, 22, -0.04183926, -0.92960459, -0.39248717, -0.25077173, -0.44514877, -0.38158098, 14.27041817, -60.20936584, 38.07381439, 1.77644718, 1.39604211, 1.32002640, 0.99974155, -0.01535931, -0.01235874, -0.01132807, 0.06618828, 0.89860237, -0.60673553, 87.60900116, 1209.97497559, 39.38999939, 0.00000000
1, 0.2300, 23, -0.04358588, -0.92792994, -0.39400190, -0.34393716, -0.03389914, -0.39022824, 14.27041817, -60.20936584, 38.07381439, 1.77308059, 1.39949429, 1.31795168, 0.99974185, -0.01532981, -0.01238825, -0.01130986, 0.06798518, 0.89697409, -0.60522103, 87.60900116, 1209.97497559, 39.38999939, 0.00000000
1, 0.2400, 24, -0.04421715, -0.92428058, -0.39204422, -0.17027929, 0.48094466, -0.30962241, 14.63606358, -59.81355286, 38.41639328, 1.77126026, 1.40424752, 1.32102621, 0.99974132, -0.01531311, -0.01242995, -0.01133624, 0.06869226, 0.89337188, -0.60717833, 87.60900116, 1209.97497559, 39.38999939, 0.00000000
1, 0.2500, 25, -0.04180074, -0.92279094, -0.39145330, -0.39123484, 0.87119126, -0.14253707, 14.41668034, -60.69313812, 38.45445633, 1.78295445, 1.39477777, 1.36285889, 0.99973643, -0.01541159, -0.01235412, -0.01170123, 0.06629871, 0.89186680, -0.60776818, 87.60900116, 1209.97497559, 39.38999939, 0.00000000
1, 0.2600, 26, -0.04190891, -0.92389321, -0.39124703, -0.29115191, 1.15790141, 0.21475059, 14.30698395, -60.82507324, 38.35929489, 1.77960730, 1.39741683, 1.37413490, 0.99973547, -0.01538089, -0.01237831, -0.01179960, 0.06628042, 0.89282548, -0.60797310, 87.60900116, 1209.97497559, 39.38999939, 0.00000000
1, 0.2700, 27, -0.03854003, -0.92488658, -0.38887894, -0.32845372, 1.20793235, 0.28622979, 15.11140537, -61.08895111, 38.16897583, 1.77586174, 1.39959693, 1.38612640, 0.99973452, -0.01534669, -0.01239855, -0.01190433, 0.06295060, 0.89388657, -0.61034232, 87.60900116, 1209.97497559, 39.38999939, 0.00000000
1, 0.2800, 28, -0.03600169, -0.92469037, -0.38931134, -0.04203350, 1.20961022, 0.32054529, 14.78232574, -62.05649185, 38.13091278, 1.77497017, 1.40146506, 1.39845574, 0.99973315, -0.01533737, -0.01241641, -0.01201173, 0.06044324, 0.89372122, -0.60991013, 87.60900116, 1209.97497559, 39.38999939, 0.00000000
1, 0.2900, 29, -0.03508927, -0.92656803, -0.39122248, -0.04144094, 1.03693628, 0.38722637, 14.78232574, -62.05649185, 38.13091278, 1.77413797, 1.40203476, 1.40947092, 0.99973208, -0.01532886, -0.01242277, -0.01210785, 0.05955410, 0.89561325, -0.60799891, 87.60900116, 1209.97497559, 39.38999939, 0.00000000
1, 0.3000, 30, -0.03494557, -0.92605305, -0.39087874, -0.02491072, 0.94873416, 0.54352629, 14.56293774, -59.28580475, 37.84543228, 1.78848135, 1.41105044, 1.45134389, 0.99972469, -0.01544844, -0.01250858, -0.01247036, 0.05944495, 0.89504206, -0.60834002, 87.60900116, 1209.97497559, 39.38999939, 0.00000000
1, 0.3100, 31, -0.03480077, -0.92793089, -0.39350596, 0.08209122, 0.87953436, 0.62963563, 14.96514320, -59.50569916, 38.18800735, 1.78889120, 1.40876806, 1.46195078, 0.99972379, -0.01545112, -0.01249014, -0.01256317, 0.05940226, 0.89672577, -0.60570431, 87.60900116, 1209.97497559, 39.38999939, 0.00000000
1, 0.3200, 32, -0.03741205, -0.92708182, -0.39371300, 0.20867363, 0.65638691, 0.69487011, 14.81888676, -62.18843079, 38.34026337, 1.79062760, 1.40498912, 1.47084904, 0.99972290, -0.01546572, -0.01245857, -0.01264113, 0.06195439, 0.89586127, -0.60549819, 87.60900116, 1209.97497559, 39.38999939, 0.00000000
1, 0.3300, 33, -0.03943200, -0.92470622, -0.39350265, 0.46290562, 0.52342665, 0.55067033, 14.52637196, -61.88057327, 38.18800735, 1.79497862, 1.40200651, 1.47812200, 0.99972183, -0.01550323, -0.01243401, -0.01270452, 0.06392008, 0.89342272, -0.60570788, 87.60900116, 1209.97497559, 39.38999939, 0.00000000
1, 0.3400, 34, -0.03770070, -0.92374194, -0.39507678, 0.39667585, 0.26929754, 0.31701228, 14.52637196, -61.88057327, 38.18800735, 1.79879880, 1.40016079, 1.48209608, 0.99972105, -0.01553634, -0.01241887, -0.01273903, 0.06214752, 0.89238280, -0.60413235, 87.60900116, 1209.97497559, 39.38999939, 0.00000000
