SensorId, TimeStamp (s), FrameNumber, AccX (g), AccY (g), AccZ (g), GyroX (deg/s), GyroY (deg/s), GyroZ (deg/s), MagX (uT), MagY (uT), MagZ (uT), EulerX (deg), EulerY (deg), EulerZ (deg), QuatW, QuatX, QuatY, QuatZ, LinAccX (g), LinAccY (g), LinAccZ (g), Pressure (kPa), Altitude (m), Temperature (degC), HeaveMotion (m)
1, 0.0000, 0, -0.01151061, -1.00153768, -0.33910373, -1.56432772, 6.70887613, 4.01910162, 12.66158390, -66.01461792, 42.35601807, 69.95785522, -2.02047992, 69.35052490, 0.66798079, -0.47960111, -0.31421897, -0.47439545, -0.02372336, 0.06268105, -0.00339687, 87.60200500, 1210.63012695, 39.79000092, 0.00000000
1, 0.0100, 1, -0.01100301, -1.00600469, -0.33956099, -2.15123343, 8.21830082, 2.71667981, 13.06379032, -65.75074005, 42.62246704, 69.93329620, -2.01781321, 69.43710327, 0.66773278, -0.47920978, -0.31449518, -0.47495657, -0.02424722, 0.06723626, -0.00317979, 87.60200500, 1210.63012695, 39.79000092, 0.00000000
1, 0.0200, 2, -0.00843214, -0.99798012, -0.34741363, -2.64164972, 8.57489777, 1.65340066, 13.21005249, -65.31095886, 42.60343552, 69.90384674, -2.00390172, 69.52336884, 0.66753918, -0.47874567, -0.31481609, -0.47548386, -0.02663431, 0.05937080, 0.00421873, 87.60200500, 1210.63012695, 39.79000092, 0.00000000
1, 0.0300, 3, -0.00237541, -0.97963172, -0.35124660, -2.75244403, 7.60308266, 1.21142924, 13.17348671, -67.68582916, 42.85084915, 69.87368774, -1.98913276, 69.59896851, 0.66739488, -0.47830299, -0.31509411, -0.47594759, -0.03242958, 0.04119815, 0.00754458, 87.60200500, 1210.63012695, 39.79000092, 0.00000000
1, 0.0400, 4, 0.00248354, -0.95762879, -0.35202035, -2.26106596, 6.67919874, 1.27839375, 12.80784130, -66.45441437, 42.71763229, 69.84875488, -1.97813427, 69.66611481, 0.66725242, -0.47792897, -0.31533581, -0.47636291, -0.03706351, 0.01935159, 0.00786925, 87.60200500, 1210.63012695, 39.79000092, 0.00000000
1, 0.0500, 5, 0.00660659, -0.93653429, -0.35191640, -2.08537745, 6.19087219, 1.84767365, 12.80784130, -66.45441437, 42.71763229, 69.81732178, -1.95366824, 69.77678680, 0.66699529, -0.47734284, -0.31581116, -0.47699514, -0.04098481, -0.00159675, 0.00734683, 87.60200500, 1210.63012695, 39.79000092, 0.00000000
1, 0.0600, 6, 0.00098043, -0.91911262, -0.35222220, -1.53324080, 7.17533350, 2.78075337, 12.66158390, -65.09105682, 42.18473053, 69.79936981, -1.95499372, 69.85376740, 0.66674560, -0.47703147, -0.31604913, -0.47749805, -0.03507881, -0.01886854, 0.00721700, 87.60200500, 1210.63012695, 39.79000092, 0.00000000
1, 0.0700, 7, -0.00489950, -0.90631312, -0.36142516, -0.83186990, 7.52626944, 3.70005727, 12.62501812, -65.44289398, 42.54634094, 69.78820038, -1.96372104, 69.93723297, 0.66641825, -0.47677135, -0.31629831, -0.47804949, -0.02929645, -0.03157952, 0.01618903, 87.60200500, 1210.63012695, 39.79000092, 0.00000000
1, 0.0800, 8, -0.01377753, -0.89677936, -0.36139226, 0.68461221, 7.19971561, 4.46199703, 12.77127552, -65.88268280, 42.58440399, 69.79219055, -1.98071623, 70.02026367, 0.66600472, -0.47663382, -0.31655982, -0.47858942, -0.02066690, -0.04109354, 0.01612709, 87.60200500, 1210.63012695, 39.79000092, 0.00000000
1, 0.0900, 9, -0.02100628, -0.89323974, -0.35858437, 2.29336071, 7.20636082, 4.82635880, 12.33250427, -65.04708099, 42.60343552, 69.81218719, -2.00112510, 70.10459900, 0.66550857, -0.47659931, -0.31687361, -0.47910613, -0.01377842, -0.04470587, 0.01355089, 87.60200500, 1210.63012695, 39.79000092, 0.00000000
1, 0.1000, 10, -0.02246577, -0.89206851, -0.35289976, 3.57131958, 7.11801815, 4.53933859, 12.33250427, -65.04708099, 42.60343552, 69.83229828, -2.02148819, 70.23145294, 0.66483361, -0.47644725, -0.31736499, -0.47986856, -0.01266965, -0.04601748, 0.00828382, 87.60200500, 1210.63012695, 39.79000092, 0.00000000
1, 0.1100, 11, -0.02446975, -0.89469427, -0.35257125, 3.87196684, 6.87644529, 3.70715928, 13.21005249, -66.32247925, 42.64150238, 69.86827850, -2.03260064, 70.30882263, 0.66432679, -0.47648647, -0.31777188, -0.48026219, -0.01093599, -0.04353774, 0.00838095, 87.60200500, 1210.63012695, 39.79000092, 0.00000000
1, 0.1200, 12, -0.02245059, -0.90424192, -0.35031003, 3.70902801, 6.53030300, 2.75115180, 12.36906433, -66.27849579, 42.88891602, 69.90284729, -2.03597212, 70.37965393, 0.66387600, -0.47650394, -0.31819144, -0.48059022, -0.01306243, -0.03420246, 0.00671013, 87.60200500, 1210.63012695, 39.79000092, 0.00000000
1, 0.1300, 13, -0.01439785, -0.91700161, -0.34557518, 2.68193007, 6.01730299, 2.14584684, 12.29593849, -65.79473114, 42.67956161, 69.92739868, -2.03545785, 70.44356537, 0.66350734, -0.47646645, -0.31856322, -0.48089015, -0.02112612, -0.02161521, 0.00244763, 87.60200500, 1210.63012695, 39.79000092, 0.00000000
1, 0.1400, 14, -0.00581792, -0.93853718, -0.34652814, 1.17090058, 5.69147730, 1.40533149, 12.47876072, -66.23451233, 42.64150238, 69.93704987, -2.02912903, 70.50188446, 0.66324133, -0.47633445, -0.31888348, -0.48117554, -0.02963697, -0.00017391, 0.00365157, 87.60200500, 1210.63012695, 39.79000092, 0.00000000
1, 0.1500, 15, -0.00047147, -0.95628405, -0.34912002, -0.53303993, 6.07635117, 1.19011891, 12.47876072, -66.23451233, 42.64150238, 69.93023682, -1.99666750, 70.61066437, 0.66290963, -0.47586030, -0.31949794, -0.48169377, -0.03473552, 0.01756792, 0.00623148, 87.60200500, 1210.63012695, 39.79000092, 0.00000000
1, 0.1600, 16, 0.00293914, -0.97208309, -0.35331902, -0.89337397, 6.31424904, 1.16106629, 12.25937271, -68.52143860, 42.83182144, 69.91910553, -1.98589993, 70.67399597, 0.66272175, -0.47557554, -0.31977743, -0.48204800, -0.03766123, 0.03341837, 0.01024060, 87.60200500, 1210.63012695, 39.79000092, 0.00000000
1, 0.1700, 17, -0.00002970, -0.97937173, -0.36189574, -0.22131830, 6.67263937, 1.60600233, 12.80784130, -66.58635712, 42.86988068, 69.91453552, -1.97807145, 70.74222565, 0.66247702, -0.47532678, -0.32008731, -0.48242387, -0.03452839, 0.04074161, 0.01870619, 87.60200500, 1210.63012695, 39.79000092, 0.00000000
1, 0.1800, 18, -0.00664295, -0.98293722, -0.35642445, -0.56135553, 6.46270037, 1.69052052, 12.29593849, -68.87326813, 42.98407745, 69.90662384, -1.97174442, 70.80876923, 0.66224855, -0.47506934, -0.32036716, -0.48280531, -0.02780463, 0.04433851, 0.01313768, 87.60200500, 1210.63012695, 39.79000092, 0.00000000
1, 0.1900, 19, -0.01405537, -0.98256654, -0.34797993, -1.22005463, 6.20306921, 1.51129460, 12.88097191, -65.83870697, 43.17439651, 69.89225006, -1.96462131, 70.87225342, 0.66206193, -0.47477970, -0.32061154, -0.48318386, -0.02028465, 0.04403749, 0.00449204, 87.60200500, 1210.63012695, 39.79000092, 0.00000000
1, 0.2000, 20, -0.01369364, -0.97619313, -0.34774566, -1.76288688, 6.05808735, 0.66614878, 12.88097191, -65.83870697, 43.17439651, 69.87654877, -1.94055831, 70.97956848, 0.66174632, -0.47429034, -0.32113108, -0.48375145, -0.02039943, 0.03775917, 0.00397340, 87.60200500, 1210.63012695, 39.79000092, 0.00000000
1, 0.2100, 21, -0.01201113, -0.96728611, -0.35830933, -1.45725095, 4.97287607, 0.00957924, 12.36906433, -65.88268280, 42.77472687, 69.86040497, -1.92353642, 71.02631378, 0.66166675, -0.47399652, -0.32135630, -0.48399860, -0.02166244, 0.02892852, 0.01428718, 87.60200500, 1210.63012695, 39.79000092, 0.00000000
1, 0.2200, 22, -0.00632029, -0.96041316, -0.35970554, -1.53177798, 3.74175811, -0.29732844, 13.06379032, -66.10257721, 43.02214050, 69.84394836, -1.90785432, 71.06043243, 0.66163772, -0.47374165, -0.32151991, -0.48417908, -0.02707214, 0.02214029, 0.01542516, 87.60200500, 1210.63012695, 39.79000092, 0.00000000
1, 0.2300, 23, -0.00221614, -0.95004988, -0.35567880, -1.69044697, 3.11955357, -0.09898426, 12.14968109, -65.13504028, 42.86988068, 69.82608032, -1.89617491, 71.08939362, 0.66162425, -0.47350946, -0.32163265, -0.48434976, -0.03094273, 0.01187405, 0.01111151, 87.60200500, 1210.63012695, 39.79000092, 0.00000000
1, 0.2400, 24, 0.00071771, -0.94308811, -0.34965855, -2.34173369, 3.07301950, 0.34148791, 12.66158390, -65.66278839, 43.36471558, 69.80167389, -1.88878059, 71.11942291, 0.66162026, -0.47325397, -0.32169697, -0.48456216, -0.03372386, 0.00504023, 0.00472854, 87.60200500, 1210.63012695, 39.79000092, 0.00000000
1, 0.2500, 25, 0.00104578, -0.93914676, -0.35187280, -2.60708237, 3.83432817, 0.88565475, 12.66158390, -65.66278839, 43.36471558, 69.76740265, -1.86134613, 71.20648193, 0.66147572, -0.47269914, -0.32207227, -0.48505151, -0.03385395, 0.00126086, 0.00648371, 87.60200500, 1210.63012695, 39.79000092, 0.00000000
1, 0.2600, 26, -0.00409097, -0.93264866, -0.35308230, -2.65870142, 5.13307333, 1.19437003, 13.13692093, -66.10257721, 43.25052261, 69.73912048, -1.85478759, 71.25880432, 0.66139042, -0.47236183, -0.32220671, -0.48540685, -0.02831670, -0.00504659, 0.00713813, 87.60200500, 1210.63012695, 39.79000092, 0.00000000
1, 0.2700, 27, -0.01616613, -0.92702931, -0.35923529, -1.87899125, 5.70043230, 1.50274348, 13.02722931, -66.67430878, 43.32665253, 69.71842957, -1.84913075, 71.31751251, 0.66124392, -0.47205412, -0.32239416, -0.48578134, -0.01613647, -0.01052566, 0.01290143, 87.60200500, 1210.63012695, 39.79000092, 0.00000000
1, 0.2800, 28, -0.02462411, -0.92173433, -0.36070505, -0.96393234, 5.13612223, 1.82206738, 11.96685791, -66.80625153, 43.13633347, 69.70702362, -1.84841144, 71.37203217, 0.66106182, -0.47183195, -0.32257459, -0.48612514, -0.00762777, -0.01572987, 0.01412085, 87.60200500, 1210.63012695, 39.79000092, 0.00000000
1, 0.2900, 29, -0.02658380, -0.91885388, -0.35759819, -0.03899149, 3.35253191, 2.20361876, 12.29593849, -66.71829224, 43.11729813, 69.70537567, -1.85745776, 71.41113281, 0.66087550, -0.47174951, -0.32267553, -0.48639134, -0.00576003, -0.01857840, 0.01093609, 87.60200500, 1210.63012695, 39.79000092, 0.00000000
1, 0.3000, 30, -0.02016131, -0.92281181, -0.35580263, -0.02767097, 2.08294010, 2.19447112, 12.29593849, -66.71829224, 43.11729813, 69.68240356, -1.85504889, 71.48686981, 0.66065562, -0.47139382, -0.32290375, -0.48688313, -0.01233730, -0.01457724, 0.00903793, 87.60200500, 1210.63012695, 39.79000092, 0.00000000
1, 0.3100, 31, -0.01667645, -0.93303847, -0.35359177, -0.35519421, 2.35589767, 1.07620013, 12.14968109, -65.88268280, 43.53600693, 69.67801666, -1.85695708, 71.51270294, 0.66055816, -0.47130355, -0.32298020, -0.48705208, -0.01573315, -0.00423461, 0.00650551, 87.60200500, 1210.63012695, 39.79000092, 0.00000000
1, 0.3200, 32, -0.01348289, -0.94352281, -0.35667816, -0.70790195, 3.20961642, 0.11084245, 12.84440613, -66.93818665, 43.36471558, 69.66994476, -1.84685493, 71.54321289, 0.66049206, -0.47112948, -0.32313052, -0.48721045, -0.01882553, 0.00628561, 0.00948574, 87.60200500, 1210.63012695, 39.79000092, 0.00000000
1, 0.3300, 33, -0.01627441, -0.95068914, -0.35722154, -0.93815482, 4.07803440, -0.64364111, 12.77127552, -67.59787750, 43.44084167, 69.65941620, -1.82664931, 71.57922363, 0.66044301, -0.47088388, -0.32335213, -0.48736745, -0.01573949, 0.01350272, 0.00986503, 87.60200500, 1210.63012695, 39.79000092, 0.00000000
1, 0.3400, 34, -0.01487216, -0.95238119, -0.35884908, -1.00370610, 3.66867065, -0.82783002, 12.29593849, -66.63032532, 43.17439651, 69.64837646, -1.80613148, 71.61076355, 0.66041589, -0.47064659, -0.32355487, -0.48749876, -0.01677289, 0.01524760, 0.01131593, 87.60200500, 1210.63012695, 39.79000092, 0.00000000
1, 0.3500, 35, -0.00391524, -0.95384580, -0.35627842, -1.06742668, 1.87447679, -0.26769331, 12.62501812, -65.83870697, 43.47890854, 69.63303375, -1.71965468, 71.67837524, 0.66045105, -0.47000983, -0.32427323, -0.48758802, -0.02714674, 0.01677032, 0.00853686, 87.60200500, 1210.63012695, 39.79000092, 0.00000000
1, 0.3600, 36, 0.00285637, -0.94883943, -0.35029179, -0.87336546, 0.98805165, 0.52167910, 12.62501812, -65.83870697, 43.47890854, 69.62396240, -1.72110164, 71.68946075, 0.66043675, -0.46993214, -0.32427159, -0.48768330, -0.03286707, 0.01181971, 0.00230709, 87.60200500, 1210.63012695, 39.79000092, 0.00000000
1, 0.3700, 37, 0.00299992, -0.93727893, -0.34857661, 0.43472126, 1.96442175, 1.25891399, 12.51532650, -66.93818665, 43.66922760, 69.62762451, -1.72606599, 71.71226501, 0.66030973, -0.46990922, -0.32435167, -0.48782411, -0.03308655, 0.00026751, 0.00057601, 87.60200500, 1210.63012695, 39.79000092, 0.00000000
1, 0.3800, 38, 0.00346596, -0.92332560, -0.34554848, 1.38824034, 3.27219129, 1.49443042, 12.77127552, -66.93818665, 43.49793625, 69.64041138, -1.72868490, 71.74815369, 0.66009659, -0.46989217, -0.32453802, -0.48800507, -0.03362929, -0.01374358, -0.00228990, 87.60200500, 1210.63012695, 39.79000092, 0.00000000
1, 0.3900, 39, -0.00180988, -0.91419035, -0.34984818, 1.98527324, 4.71838045, 1.48785138, 12.25937271, -66.63032532, 43.23149109, 69.65876770, -1.72621977, 71.79758453, 0.65981817, -0.46984759, -0.32483330, -0.48822796, -0.02833445, -0.02297789, 0.00227545, 87.60200500, 1210.63012695, 39.79000092, 0.00000000
