SensorId, TimeStamp (s), FrameNumber, AccX (g), AccY (g), AccZ (g), GyroX (deg/s), GyroY (deg/s), GyroZ (deg/s), MagX (uT), MagY (uT), MagZ (uT), EulerX (deg), EulerY (deg), EulerZ (deg), QuatW, QuatX, QuatY, QuatZ, LinAccX (g), LinAccY (g), LinAccZ (g), Pressure (kPa), Altitude (m), Temperature (degC), HeaveMotion (m)
1, 0.0000, 0, 0.01079833, -0.94226164, -0.35018864, -2.05707788, 1.30419660, 1.62180269, 12.84440613, -65.35493469, 45.03953552, 0.20945750, 2.85121393, 1.45506191, 0.99960881, -0.00151125, -0.02490012, -0.01264804, 0.03901753, 0.93847179, -0.64856255, 87.58900452, 1211.84777832, 39.29000092, 0.00000000
1, 0.0100, 1, 0.01092679, -0.93649757, -0.35414585, -1.87424850, 1.43111730, 1.28992391, 13.06379032, -64.95912170, 44.92533875, 0.17662284, 2.86601448, 1.42828286, 0.99960893, -0.00122903, -0.02502531, -0.01242134, 0.03883110, 0.93312478, -0.64460975, 87.58900452, 1211.84777832, 39.29000092, 0.00000000
1, 0.0200, 2, 0.00933912, -0.93333751, -0.35890964, -1.43923473, 1.59603238, 0.85260218, 13.68538952, -64.95912170, 45.51533127, 0.16219823, 2.86357498, 1.44547796, 0.99960768, -0.00109971, -0.02500263, -0.01257452, 0.04063126, 0.93042141, -0.63983685, 87.58900452, 1211.84777832, 39.29000092, 0.00000000
1, 0.0300, 3, 0.00833580, -0.93193316, -0.35998741, -1.06931400, 1.00537622, 0.41717300, 13.68538952, -66.63032532, 45.51533127, 0.15148729, 2.86315727, 1.45582438, 0.99960673, -0.00100407, -0.02499790, -0.01266712, 0.04160879, 0.92922193, -0.63876092, 87.58900452, 1211.84777832, 39.29000092, 0.00000000
1, 0.0400, 4, 0.00969625, -0.93169534, -0.36027852, -0.96408290, 0.15761067, -0.16347803, 13.83164692, -66.23451233, 45.70565414, 0.14181857, 2.86524129, 1.45624542, 0.99960643, -0.00091940, -0.02501502, -0.01267287, 0.04027845, 0.92916608, -0.63846874, 87.58900452, 1211.84777832, 39.29000092, 0.00000000
1, 0.0500, 5, 0.01138184, -0.93296129, -0.35962304, -0.75902760, -0.45576259, -0.33520570, 13.21005249, -65.57482910, 45.02050018, 0.13420990, 2.86679101, 1.45042324, 0.99960673, -0.00085413, -0.02502766, -0.01262373, 0.03862268, 0.93057913, -0.63912308, 87.58900452, 1211.84777832, 39.29000092, 0.00000000
1, 0.0600, 6, 0.01548808, -0.93562192, -0.35716656, -0.24066101, -0.29759428, -0.31588823, 13.35630894, -65.17901611, 44.56372833, 0.06700077, 3.00628829, 1.40092003, 0.99958122, -0.00026376, -0.02623698, -0.01220548, 0.03514552, 0.93360472, -0.64154804, 87.58900452, 1211.84777832, 39.29000092, 0.00000000
1, 0.0700, 7, 0.01535345, -0.93869835, -0.35746700, 0.41509059, 0.09725346, -0.01076231, 12.91753292, -65.35493469, 45.02050018, 0.07116532, 3.00673628, 1.40199304, 0.99958098, -0.00029980, -0.02624133, -0.01221388, 0.03709967, 0.93749136, -0.64115560, 87.58900452, 1211.84777832, 39.29000092, 0.00000000
1, 0.0800, 8, 0.01474391, -0.94108015, -0.35779843, 0.31525850, 0.37926412, 0.54039967, 12.91753292, -65.35493469, 45.02050018, 0.07431526, 3.00299478, 1.40759313, 0.99958128, -0.00032639, -0.02620905, -0.01226204, 0.03767654, 0.93979627, -0.64082587, 87.58900452, 1211.84777832, 39.29000092, 0.00000000
1, 0.0900, 9, 0.01269324, -0.94188434, -0.35899580, -0.44566530, 0.50284058, 1.01994026, 13.35630894, -66.58635712, 45.62952805, 0.06988059, 2.99519920, 1.41565239, 0.99958217, -0.00028671, -0.02614059, -0.01233342, 0.03962016, 0.94063056, -0.63963419, 87.58900452, 1211.84777832, 39.29000092, 0.00000000
