SensorId, TimeStamp (s), FrameNumber, AccX (g), AccY (g), AccZ (g), GyroX (deg/s), GyroY (deg/s), GyroZ (deg/s), MagX (uT), MagY (uT), MagZ (uT), EulerX (deg), EulerY (deg), EulerZ (deg), QuatW, QuatX, QuatY, QuatZ, LinAccX (g), LinAccY (g), LinAccZ (g), Pressure (kPa), Altitude (m), Temperature (degC), HeaveMotion (m)
1, -0.0000, 0, 0.02475988, -0.90675217, -0.45285586, -1.06805611, -1.71968973, -1.80829549, 12.88097191, -60.42926025, 43.15536499, 0.61643124, 0.28757685, -1.70154440, 0.99987203, -0.00541600, -0.00242939, 0.01486146, -0.01960722, 0.89597702, -0.54707277, 87.59400177, 1211.37976074, 40.00000000, 0.00000000
1, 0.0100, 1, 0.02609705, -0.90615505, -0.45471385, -1.05045962, -2.27474189, -1.43329561, 12.77127552, -60.69313812, 43.30761719, 0.60485804, 0.29001606, -1.72793436, 0.99986899, -0.00531590, -0.00245095, 0.01509159, -0.02104240, 0.89551657, -0.54521680, 87.59400177, 1211.37976074, 40.00000000, 0.00000000
1, 0.0200, 2, 0.02820486, -0.90369064, -0.45239633, -1.41152203, -2.81788802, -0.91626072, 12.77127552, -60.69313812, 43.30761719, 0.58957833, 0.28537709, -1.75670683, 0.99986601, -0.00518257, -0.00241119, 0.01534211, -0.02318212, 0.89330214, -0.54753709, 87.59400177, 1211.37976074, 40.00000000, 0.00000000
1, 0.0300, 3, 0.03102138, -0.90222085, -0.44423214, -1.18222201, -2.85523605, -0.61891627, 13.02722931, -60.78109741, 43.66922760, 0.57664496, 0.27790749, -1.78450978, 0.99986297, -0.00506929, -0.00234651, 0.01558411, -0.02612516, 0.89207029, -0.55570436, 87.59400177, 1211.37976074, 40.00000000, 0.00000000
1, 0.0400, 4, 0.02879861, -0.89698792, -0.44366509, -1.04087067, -2.59653234, -0.63148826, 13.02722931, -61.96853638, 43.93567276, 0.56519979, 0.27173203, -1.81013954, 0.99986011, -0.00496910, -0.00229307, 0.01580724, -0.02401661, 0.88704830, -0.55627412, 87.59400177, 1211.37976074, 40.00000000, 0.00000000
1, 0.0500, 5, 0.02883655, -0.88901412, -0.44471514, -0.84721214, -2.44318867, -0.47065213, 13.35630894, -61.79261780, 43.74535370, 0.56417692, 0.25588936, -1.92047465, 0.99984479, -0.00496007, -0.00215020, 0.01676926, -0.02420881, 0.87921119, -0.55522609, 87.59400177, 1211.37976074, 40.00000000, 0.00000000
1, 0.0600, 6, 0.02803182, -0.88663620, -0.44547608, -0.86888278, -1.73691392, -0.64909858, 13.79508114, -61.22089005, 43.87857819, 0.55476481, 0.25376609, -1.93858063, 0.99984258, -0.00487797, -0.00213229, 0.01692697, -0.02359683, 0.87689227, -0.55446661, 87.59400177, 1211.37976074, 40.00000000, 0.00000000
1, 0.0700, 7, 0.02897663, -0.88829106, -0.44796988, -0.73163188, -0.89358312, -0.73725849, 13.79508114, -61.22089005, 43.87857819, 0.54699653, 0.25627089, -1.94963825, 0.99984127, -0.00481077, -0.00215482, 0.01702341, -0.02452145, 0.87869167, -0.55197412, 87.59400177, 1211.37976074, 40.00000000, 0.00000000
1, 0.0800, 8, 0.02972498, -0.89078993, -0.45127186, -0.47073019, -0.08615221, -0.66834670, 12.88097191, -59.98946762, 43.51697159, 0.54213977, 0.26182368, -1.95326674, 0.99984086, -0.00476929, -0.00220384, 0.01705521, -0.02519958, 0.88130140, -0.54867285, 87.59400177, 1211.37976074, 40.00000000, 0.00000000
1, 0.0900, 9, 0.03039130, -0.89436829, -0.45384401, -0.13698672, 0.41108575, -0.48313099, 12.99066353, -60.47323990, 43.44084167, 0.54082692, 0.26800045, -1.95177221, 0.99984097, -0.00475872, -0.00225800, 0.01704240, -0.02575257, 0.88492799, -0.54610068, 87.59400177, 1211.37976074, 40.00000000, 0.00000000
1, 0.1000, 10, 0.03178949, -0.89823848, -0.45459494, 0.34387812, 0.23762552, -0.13668294, 12.95409870, -62.18843079, 43.72632980, 0.59188372, 0.20843135, -2.04043150, 0.99982637, -0.00519669, -0.00172663, 0.01781431, -0.02735095, 0.88855934, -0.54534817, 87.59400177, 1211.37976074, 40.00000000, 0.00000000
1, 0.1100, 11, 0.03000495, -0.90166694, -0.44946989, 0.02144372, 0.01010128, -0.01743160, 13.50256634, -60.38528061, 43.85954666, 0.59210736, 0.20864545, -2.04043722, 0.99982631, -0.00519868, -0.00172846, 0.01781437, -0.02635800, 0.89133042, -0.55047011, 87.59400177, 1211.37976074, 40.00000000, 0.00000000
1, 0.1200, 12, 0.02544673, -0.90407956, -0.44759858, 0.16777891, -0.33211517, -0.00749575, 13.50256634, -60.38528061, 43.85954666, 0.59366500, 0.20720454, -2.04348207, 0.99982584, -0.00521209, -0.00171551, 0.01784089, -0.02182515, 0.89373404, -0.55234134, 87.59400177, 1211.37976074, 40.00000000, 0.00000000
1, 0.1300, 13, 0.02915431, -0.90488267, -0.44537929, 0.51663166, -0.87460572, -0.24848638, 13.35630894, -59.94548798, 43.45987701, 0.59847021, 0.20543602, -2.05256486, 0.99982417, -0.00525388, -0.00169891, 0.01792013, -0.02555498, 0.89447165, -0.55456007, 87.59400177, 1211.37976074, 40.00000000, 0.00000000
1, 0.1400, 14, 0.03465758, -0.90569377, -0.44686338, 0.46705073, -1.09543478, -0.41118214, 13.13692093, -59.72559738, 43.36471558, 0.60268497, 0.20413028, -2.06434894, 0.99982214, -0.00529062, -0.00168632, 0.01802295, -0.03109156, 0.89520276, -0.55307525, 87.59400177, 1211.37976074, 40.00000000, 0.00000000
1, 0.1500, 15, 0.03952875, -0.90603191, -0.44404346, 0.32352826, -1.06196845, -0.42761770, 12.36906433, -59.24182510, 43.44084167, 0.66019654, 0.20942754, -2.17214561, 0.99980187, -0.00579486, -0.00171804, 0.01896459, -0.03595408, 0.89524031, -0.55589187, 87.59400177, 1211.37976074, 40.00000000, 0.00000000
1, 0.1600, 16, 0.04458500, -0.90174001, -0.43881914, 0.16039890, -0.44114992, -0.69531959, 12.99066353, -60.42926025, 43.40278244, 0.66152537, 0.21363063, -2.17927551, 0.99980062, -0.00580726, -0.00175413, 0.01902702, -0.04088857, 0.89019781, -0.56110740, 87.59400177, 1211.37976074, 40.00000000, 0.00000000
1, 0.1700, 17, 0.04113854, -0.89732963, -0.44931722, -0.08114945, 0.48327094, -0.67514563, 12.99066353, -60.42926025, 43.40278244, 0.66074890, 0.22183980, -2.17801332, 0.99980068, -0.00580183, -0.00182595, 0.01901641, -0.03732489, 0.88579369, -0.55060905, 87.59400177, 1211.37976074, 40.00000000, 0.00000000
