SensorId, TimeStamp (s), FrameNumber, AccX (g), AccY (g), AccZ (g), GyroX (deg/s), GyroY (deg/s), GyroZ (deg/s), MagX (uT), MagY (uT), MagZ (uT), EulerX (deg), EulerY (deg), EulerZ (deg), QuatW, QuatX, QuatY, QuatZ, LinAccX (g), LinAccY (g), LinAccZ (g), Pressure (kPa), Altitude (m), Temperature (degC), HeaveMotion (m)
1, -0.0001, 0, 0.02875612, -0.92751998, -0.41117758, -5.92563820, 1.70446014, -1.54566038, 13.72195435, -61.00099564, 42.05150604, -0.31257671, -0.18781230, -0.06112366, 0.99999487, 0.00272861, 0.00163751, 0.00053787, -0.03216117, 0.93258065, -0.58880377, 87.59200287, 1211.56689453, 39.57999802, 0.00000000
1, 0.0099, 1, 0.03509483, -0.91916597, -0.41507912, -6.75255966, 1.27944505, -1.13018608, 14.01446915, -61.26486588, 41.57570648, -0.38283813, -0.17085624, -0.09234774, 0.99999303, 0.00334208, 0.00148830, 0.00081086, -0.03818835, 0.92535436, -0.58489686, 87.59200287, 1211.56689453, 39.57999802, 0.00000000
1, 0.0199, 2, 0.04158487, -0.91304928, -0.41807199, -6.84975195, 1.21782720, -0.55109996, 13.61225796, -60.56120300, 41.63280487, -0.45092386, -0.16079943, -0.08062333, 0.99999106, 0.00393602, 0.00140046, 0.00070909, -0.04445290, 0.92047745, -0.58189631, 87.59200287, 1211.56689453, 39.57999802, 0.00000000
1, 0.0299, 3, 0.03771783, -0.90596563, -0.42046338, -6.87703276, 1.81344879, -0.25724131, 13.86821175, -60.51721954, 41.38538742, -0.51902574, -0.15095116, -0.06227769, 0.99998879, 0.00453005, 0.00131482, 0.00054944, -0.04041693, 0.91458100, -0.57949585, 87.59200287, 1211.56689453, 39.57999802, 0.00000000
1, 0.0399, 4, 0.03113944, -0.90041637, -0.42871061, -6.74046707, 2.27454710, -0.05460379, 14.08759975, -61.48476028, 42.18473053, -0.58556277, -0.14102440, -0.03895990, 0.99998623, 0.00511039, 0.00122892, 0.00034627, -0.03366549, 0.91020620, -0.57123822, 87.59200287, 1211.56689453, 39.57999802, 0.00000000
1, 0.0499, 5, 0.03450617, -0.89723945, -0.43382016, -6.16894722, 2.44971681, 0.00006508, 14.08759975, -61.48476028, 42.18473053, -0.64631546, -0.13083827, -0.01408039, 0.99998343, 0.00564027, 0.00114107, 0.00012931, -0.03685310, 0.90813118, -0.56611776, 87.59200287, 1211.56689453, 39.57999802, 0.00000000
1, 0.0599, 6, 0.03574976, -0.89849693, -0.43215412, -5.56484461, 2.98537683, 0.06221313, 14.19729233, -60.42926025, 41.80408859, -0.71720904, -0.11825678, -0.02507165, 0.99997991, 0.00625901, 0.00103060, 0.00022525, -0.03790493, 0.91045338, -0.56777203, 87.59200287, 1211.56689453, 39.57999802, 0.00000000
1, 0.0699, 7, 0.03827772, -0.89640075, -0.43124995, -4.83345413, 3.48943472, 0.01783744, 13.86821175, -60.42926025, 41.88021851, -0.76419592, -0.10385382, 0.00873874, 0.99997735, 0.00666874, 0.00090678, -0.00007021, -0.04018167, 0.90943742, -0.56866324, 87.59200287, 1211.56689453, 39.57999802, 0.00000000
1, 0.0799, 8, 0.04206575, -0.89685911, -0.43548867, -4.10187578, 3.30021811, 0.39834365, 13.90477753, -60.38528061, 41.74699402, -0.80389810, -0.09368250, 0.04210385, 0.99997509, 0.00701497, 0.00082009, -0.00036168, -0.04376147, 0.91063946, -0.56441486, 87.59200287, 1211.56689453, 39.57999802, 0.00000000
1, 0.0899, 9, 0.04177901, -0.89552915, -0.43698990, -3.02834320, 2.73373508, 0.92807668, 13.97790337, -61.13293076, 42.07053757, -0.83298111, -0.09067565, 0.07207754, 0.99997306, 0.00726856, 0.00079585, -0.00062323, -0.04337117, 0.90989506, -0.56290567, 87.59200287, 1211.56689453, 39.57999802, 0.00000000
