SensorId, TimeStamp (s), FrameNumber, AccX (g), AccY (g), AccZ (g), GyroX (deg/s), GyroY (deg/s), GyroZ (deg/s), MagX (uT), MagY (uT), MagZ (uT), EulerX (deg), EulerY (deg), EulerZ (deg), QuatW, QuatX, QuatY, QuatZ, LinAccX (g), LinAccY (g), LinAccZ (g), Pressure (kPa), Altitude (m), Temperature (degC), HeaveMotion (m)
1, 0.0000, 0, -0.07976791, -0.77346629, -0.63263738, 0.31436819, 0.90684724, 0.51194358, 10.90648746, -66.45441437, 37.50285721, 1.65043223, -0.66421211, -8.50623608, 0.99713224, -0.01393251, 0.00684784, 0.07407056, 0.06817189, 0.74467814, -0.36688083, 87.61200714, 1209.69348145, 38.43999863, 0.00000000
1, 0.0100, 1, -0.07829840, -0.77319157, -0.63126564, -0.13048844, 0.76868683, 0.35219532, 10.50427628, -67.24604034, 38.11188126, 1.64846087, -0.66221464, -8.49813366, 0.99713773, -0.01391713, 0.00682820, 0.07400042, 0.06672973, 0.74440730, -0.36825308, 87.61200714, 1209.69348145, 38.43999863, 0.00000000
1, 0.0200, 2, -0.07724196, -0.77134252, -0.63154852, -0.52198148, 0.54375190, 0.27835104, 10.50427628, -67.24604034, 38.11188126, 1.64278185, -0.66102004, -8.49251938, 0.99714208, -0.01386882, 0.00681346, 0.07395206, 0.06569891, 0.74262828, -0.36797255, 87.61200714, 1209.69348145, 38.43999863, 0.00000000
1, 0.0300, 3, -0.07840728, -0.76831728, -0.63113952, -0.60867041, 0.21714582, 0.27174982, 10.94305325, -68.78530884, 38.24510574, 1.63643312, -0.66179544, -8.48956394, 0.99714482, -0.01381325, 0.00681575, 0.07392663, 0.06685995, 0.73972309, -0.36838490, 87.61200714, 1209.69348145, 38.43999863, 0.00000000
1, 0.0400, 4, -0.07760703, -0.76623708, -0.63083893, -0.58718240, -0.03857233, 0.17841637, 10.43115044, -69.48898315, 38.05478668, 1.55044866, -0.64933991, -8.50033379, 0.99714839, -0.01307246, 0.00665312, 0.07402694, 0.06610493, 0.73809767, -0.36869860, 87.61200714, 1209.69348145, 38.43999863, 0.00000000
1, 0.0500, 5, -0.07778132, -0.76413721, -0.62879515, -0.37123859, -0.17467937, 0.21005073, 10.65053368, -69.18112183, 37.88349915, 1.54674804, -0.65206373, -8.50065994, 0.99714851, -0.01303848, 0.00667447, 0.07402967, 0.06642045, 0.73712873, -0.37077555, 87.61200714, 1209.69348145, 38.43999863, 0.00000000
1, 0.0600, 6, -0.07763141, -0.76191550, -0.63234669, 0.16695106, -0.17017224, 0.19092038, 10.46771145, -68.91725159, 38.26413727, 1.54842079, -0.65462011, -8.50069427, 0.99714822, -0.01305137, 0.00669780, 0.07402956, 0.06622665, 0.73491573, -0.36722374, 87.61200714, 1209.69348145, 38.43999863, 0.00000000
1, 0.0700, 7, -0.07745378, -0.76054698, -0.63393486, 0.54297525, -0.08116744, 0.17406274, 10.46771145, -68.91725159, 38.26413727, 1.55379915, -0.65649909, -8.49987316, 0.99714804, -0.01309701, 0.00671753, 0.07402186, 0.06601162, 0.73346812, -0.36563295, 87.61200714, 1209.69348145, 38.43999863, 0.00000000
1, 0.0800, 8, -0.07680988, -0.76083589, -0.63632983, 0.88299125, 0.31945795, -0.02949472, 10.61397266, -66.58635712, 37.94059372, 1.56241250, -0.65430135, -8.49693966, 0.99714905, -0.01317355, 0.00670363, 0.07399610, 0.06537321, 0.73363537, -0.36323473, 87.61200714, 1209.69348145, 38.43999863, 0.00000000
1, 0.0900, 9, -0.07685613, -0.76313961, -0.64117754, 0.95270228, 0.59503812, -0.05907090, 9.99237347, -67.37797546, 37.54092026, 1.50841153, -0.64121151, -8.50275040, 0.99715191, -0.01271179, 0.00655550, 0.07405136, 0.06551731, 0.73605061, -0.35839114, 87.61200714, 1209.69348145, 38.43999863, 0.00000000
