SensorId, TimeStamp (s), FrameNumber, AccX (g), AccY (g), AccZ (g), GyroX (deg/s), GyroY (deg/s), GyroZ (deg/s), MagX (uT), MagY (uT), MagZ (uT), EulerX (deg), EulerY (deg), EulerZ (deg), QuatW, QuatX, QuatY, QuatZ, LinAccX (g), LinAccY (g), LinAccZ (g), Pressure (kPa), Altitude (m), Temperature (degC), HeaveMotion (m)
1, 0.0000, 0, -0.06594387, -0.75545394, -0.66851020, 1.22617102, 1.42367578, 1.58680344, 9.59016514, -67.46593475, 37.71220779, 47.18363953, -4.56499004, 121.13251495, 0.43610513, -0.22830476, -0.33034751, -0.80533212, -0.01388060, 0.02453162, -0.00926605, 87.62500763, 1208.47619629, 40.31999969, 0.00000000
1, 0.0100, 1, -0.06357050, -0.75480855, -0.66857201, 0.55196530, 1.16676927, 1.23189914, 9.15139103, -66.01461792, 37.40769577, 47.18780518, -4.56609821, 121.14951324, 0.43597391, -0.22827928, -0.33040613, -0.80538630, -0.01603499, 0.02356440, -0.00888281, 87.62500763, 1208.47619629, 40.31999969, 0.00000000
1, 0.0200, 2, -0.06241243, -0.75425977, -0.66747850, -0.32116893, 0.95834064, 0.96651429, 8.82231140, -66.49839020, 37.55995178, 47.18350601, -4.56667089, 121.16314697, 0.43588477, -0.22822754, -0.33040076, -0.80545139, -0.01720497, 0.02303013, -0.00999060, 87.62500763, 1208.47619629, 40.31999969, 0.00000000
1, 0.0300, 3, -0.06257144, -0.75458401, -0.66637486, -0.78273958, 0.57875460, 0.87205470, 9.00513363, -67.72981262, 38.30220032, 47.17486954, -4.56913233, 121.17334747, 0.43582243, -0.22818224, -0.33035040, -0.80551863, -0.01706996, 0.02344470, -0.01118881, 87.62500763, 1208.47619629, 40.31999969, 0.00000000
1, 0.0400, 4, -0.06334352, -0.75008976, -0.66398191, -0.68748266, 0.39536232, 0.58665460, 9.18795681, -67.86174774, 37.76930618, 47.16744232, -4.57074642, 121.18024445, 0.43578357, -0.22814524, -0.33030543, -0.80556870, -0.01633551, 0.01904617, -0.01368053, 87.62500763, 1208.47619629, 40.31999969, 0.00000000
1, 0.0500, 5, -0.06571101, -0.74943244, -0.66338772, -0.53801626, 0.24755731, 0.24910206, 9.18795681, -67.86174774, 37.76930618, 47.27933884, -4.51533556, 121.23472595, 0.43535513, -0.22803131, -0.33142436, -0.80537295, -0.01374453, 0.01810455, -0.01399362, 87.62500763, 1208.47619629, 40.31999969, 0.00000000
1, 0.0600, 6, -0.07167565, -0.74906725, -0.66505021, -0.55095780, 0.18396340, -0.06860483, 9.44390774, -66.58635712, 37.73123932, 47.27375412, -4.51358366, 121.23561096, 0.43536562, -0.22799546, -0.33139399, -0.80538994, -0.00703120, 0.01671542, -0.01131211, 87.62500763, 1208.47619629, 40.31999969, 0.00000000
1, 0.0700, 7, -0.07560998, -0.74895042, -0.66844612, -0.83627260, 0.35696536, -0.29261270, 8.85887623, -67.86174774, 37.90252686, 47.26534653, -4.50900698, 121.23624420, 0.43539253, -0.22793013, -0.33135462, -0.80541009, -0.00303829, 0.01667480, -0.00800563, 87.62500763, 1208.47619629, 40.31999969, 0.00000000
1, 0.0800, 8, -0.08020100, -0.74712503, -0.67057544, -1.24580491, 0.30513674, -0.46823227, 9.00513363, -67.29001617, 37.44575882, 47.25296402, -4.50349617, 121.23531342, 0.43544140, -0.22784780, -0.33128798, -0.80543441, 0.00164455, 0.01497750, -0.00602561, 87.62500763, 1208.47619629, 40.31999969, 0.00000000
1, 0.0900, 9, -0.08092347, -0.74772567, -0.67184913, -1.36832464, 0.08231209, -0.54285514, 9.33421421, -67.15808105, 37.75027084, 47.23952103, -4.49894619, 121.23222351, 0.43550438, -0.22777429, -0.33120576, -0.80545497, 0.00245033, 0.01573363, -0.00492977, 87.62500763, 1208.47619629, 40.31999969, 0.00000000
1, 0.1000, 10, -0.08247006, -0.74705696, -0.67318428, -1.08320320, 0.06511790, -0.40346268, 9.33421421, -67.15808105, 37.75027084, 47.27251434, -4.51162624, 121.29166412, 0.43498036, -0.22781514, -0.33150467, -0.80560362, 0.00399730, 0.01507524, -0.00360565, 87.62500763, 1208.47619629, 40.31999969, 0.00000000
1, 0.1100, 11, -0.08307699, -0.74748302, -0.67380935, -0.76374382, 0.08107787, -0.17558666, 10.17519665, -68.21358490, 37.90252686, 47.26492310, -4.50978518, 121.29106140, 0.43500552, -0.22777535, -0.33145750, -0.80562055, 0.00443516, 0.01523001, -0.00266767, 87.62500763, 1208.47619629, 40.31999969, 0.00000000
1, 0.1200, 12, -0.08081739, -0.74731785, -0.67052203, -0.40497246, 0.01470739, -0.14292319, 10.02893925, -67.15808105, 37.67414474, 47.26094437, -4.50863695, 121.29019928, 0.43502316, -0.22775482, -0.33143243, -0.80562717, 0.00220310, 0.01512374, -0.00602190, 87.62500763, 1208.47619629, 40.31999969, 0.00000000
1, 0.1300, 13, -0.07975694, -0.74768960, -0.66715932, -0.14045528, 0.23693819, 0.03672269, 9.91924763, -67.55389404, 37.69317627, 47.25938416, -4.50729609, 121.29219055, 0.43501651, -0.22773388, -0.33143085, -0.80563730, 0.00115651, 0.01551887, -0.00941144, 87.62500763, 1208.47619629, 40.31999969, 0.00000000
