SensorId, TimeStamp (s), FrameNumber, AccX (g), AccY (g), AccZ (g), GyroX (deg/s), GyroY (deg/s), GyroZ (deg/s), MagX (uT), MagY (uT), MagZ (uT), EulerX (deg), EulerY (deg), EulerZ (deg), QuatW, QuatX, QuatY, QuatZ, LinAccX (g), LinAccY (g), LinAccZ (g), Pressure (kPa), Altitude (m), Temperature (degC), HeaveMotion (m)
1, -0.0001, 0, 0.01240369, -0.87244040, -0.50098974, -0.39517593, 0.25968283, 0.72792792, 14.34354877, -61.44078064, 41.61376953, -0.28391334, -0.10194454, -1.78082490, 0.99987584, 0.00249113, 0.00085102, 0.01554215, -0.01415199, 0.87736982, -0.49899656, 87.59200287, 1211.56689453, 38.09000015, 0.00000000
1, 0.0099, 1, 0.01085474, -0.87278050, -0.50017834, -0.48537236, 0.34502980, 0.71241993, 14.59950256, -61.00099564, 41.36635590, -0.29791892, -0.10644094, -1.82266903, 0.99986970, 0.00261427, 0.00088740, 0.01590747, -0.01268275, 0.87782723, -0.49980721, 87.59200287, 1211.56689453, 38.09000015, 0.00000000
1, 0.0199, 2, 0.01038949, -0.87392420, -0.50157619, -0.55302465, 0.19324419, 0.51607436, 14.48980618, -61.44078064, 41.30925751, -0.30339471, -0.10997104, -1.81836176, 0.99987018, 0.00266251, 0.00091754, 0.01587001, -0.01228434, 0.87918186, -0.49840814, 87.59200287, 1211.56689453, 38.09000015, 0.00000000
1, 0.0299, 3, 0.00944383, -0.87240130, -0.50237560, -0.58439910, 0.07690509, 0.26762816, 14.89201736, -61.96853638, 42.07053757, -0.30921492, -0.11191329, -1.81629479, 0.99987030, 0.00271354, 0.00093373, 0.01585206, -0.01139225, 0.87775308, -0.49760818, 87.59200287, 1211.56689453, 38.09000015, 0.00000000
1, 0.0399, 4, 0.00812586, -0.87059850, -0.49994639, -0.72611654, -0.06086947, 0.23000863, 14.89201736, -61.96853638, 42.07053757, -0.31647223, -0.11421464, -1.81558847, 0.99987024, 0.00277718, 0.00095283, 0.01584602, -0.01010852, 0.87607515, -0.50003660, 87.59200287, 1211.56689453, 38.09000015, 0.00000000
1, 0.0499, 5, 0.00873193, -0.86750144, -0.50053293, -0.91981256, -0.07555808, -0.01580377, 14.89201736, -62.76015854, 41.65183640, -0.32567167, -0.11444681, -1.81620431, 0.99986988, 0.00285749, 0.00095356, 0.01585147, -0.01072743, 0.87312096, -0.49944925, 87.59200287, 1211.56689453, 38.09000015, 0.00000000
1, 0.0599, 6, 0.01028678, -0.86893922, -0.49874169, -0.72804928, -0.36696637, -0.14117093, 14.08759975, -63.90362167, 41.53764343, -0.34186664, -0.11604601, -1.86643004, 0.99986243, 0.00299944, 0.00096396, 0.01628989, -0.01230249, 0.87475300, -0.50123936, 87.59200287, 1211.56689453, 38.09000015, 0.00000000
1, 0.0699, 7, 0.00931542, -0.86785120, -0.50299054, -0.03083267, -0.84569293, -0.50933057, 14.23385715, -63.24393463, 40.81442642, -0.34228611, -0.11581438, -1.87628794, 0.99986100, 0.00300315, 0.00096162, 0.01637590, -0.01133046, 0.87383419, -0.49698952, 87.59200287, 1211.56689453, 38.09000015, 0.00000000
1, 0.0799, 8, 0.00742497, -0.86684889, -0.50454241, 0.58262348, -1.14851344, -0.58788723, 14.34354877, -62.49628448, 41.23313141, -0.33661157, -0.11639015, -1.88925683, 0.99985927, 0.00295383, 0.00096713, 0.01648903, -0.00945550, 0.87276238, -0.49543810, 87.59200287, 1211.56689453, 38.09000015, 0.00000000
1, 0.0899, 9, 0.00519744, -0.86897892, -0.49704376, 0.45741501, -1.18380368, -0.58824605, 14.34354877, -62.49628448, 41.23313141, -0.33218551, -0.11714286, -1.90251482, 0.99985749, 0.00291543, 0.00097399, 0.01660469, -0.00723419, 0.87479961, -0.50293726, 87.59200287, 1211.56689453, 38.09000015, 0.00000000
1, 0.0999, 10, 0.00597101, -0.87444335, -0.49781293, 0.11487765, -1.11929834, -0.49795032, 13.97790337, -61.70465851, 41.27119446, -0.33116990, -0.11835436, -1.91472316, 0.99985570, 0.00290685, 0.00098440, 0.01671124, -0.00803255, 0.88022757, -0.50216818, 87.59200287, 1211.56689453, 38.09000015, 0.00000000
1, 0.1099, 11, 0.00816620, -0.87929374, -0.49948519, 0.75975674, -1.14968538, -0.43024918, 14.34354877, -61.52874374, 41.51861191, -0.32345060, -0.11989141, -1.97413063, 0.99984705, 0.00284024, 0.00099747, 0.01722956, -0.01025023, 0.88500053, -0.50049627, 87.59200287, 1211.56689453, 38.09000015, 0.00000000
1, 0.1199, 12, 0.00957017, -0.88226449, -0.49530667, 1.20851481, -1.19762659, -0.43263015, 14.67262936, -63.24393463, 41.11893845, -0.31149873, -0.12205844, -1.98683953, 0.99984539, 0.00273639, 0.00101787, 0.01734039, -0.01168799, 0.88777888, -0.50467587, 87.59200287, 1211.56689453, 38.09000015, 0.00000000
1, 0.1299, 13, 0.00971786, -0.88246858, -0.49773726, 0.67122513, -1.16639543, -0.50064278, 14.92858315, -62.45230865, 41.15700150, -0.30492872, -0.12347589, -1.99954176, 0.99984360, 0.00267940, 0.00103093, 0.01745120, -0.01186320, 0.88781750, -0.50224614, 87.59200287, 1211.56689453, 38.09000015, 0.00000000
1, 0.1399, 14, 0.00758987, -0.88044178, -0.49873054, -0.71106833, -1.00570035, -0.49303478, 14.92858315, -62.45230865, 41.15700150, -0.31216386, -0.12416547, -2.01063323, 0.99984181, 0.00274273, 0.00103558, 0.01754805, -0.00975653, 0.88583100, -0.50125259, 87.59200287, 1211.56689453, 38.09000015, 0.00000000
1, 0.1499, 15, 0.00729444, -0.87544638, -0.49872869, -1.19484329, -0.83567882, -0.62860638, 14.63606358, -64.03556061, 41.40441895, -0.32422623, -0.12283765, -2.02084088, 0.99983990, 0.00284786, 0.00102189, 0.01763720, -0.00944671, 0.88101792, -0.50125349, 87.59200287, 1211.56689453, 38.09000015, 0.00000000
1, 0.1599, 16, 0.00727203, -0.87026882, -0.49841493, -1.33614576, -0.93828827, -0.71822286, 14.16072655, -62.93607712, 40.89055252, -0.34306079, -0.12338870, -2.07844520, 0.99983048, 0.00301280, 0.00102229, 0.01813999, -0.00941084, 0.87609303, -0.50156581, 87.59200287, 1211.56689453, 38.09000015, 0.00000000
1, 0.1699, 17, 0.00753714, -0.86670220, -0.49617115, -1.67353153, -1.19710672, -0.79294509, 14.30698395, -61.30884552, 40.89055252, -0.35995123, -0.12243066, -2.09255171, 0.99982774, 0.00316014, 0.00101087, 0.01826319, -0.00968084, 0.87286693, -0.50380754, 87.59200287, 1211.56689453, 38.09000015, 0.00000000
1, 0.1799, 18, 0.00768500, -0.86293685, -0.49506563, -1.68839180, -1.45367920, -0.85102862, 14.48980618, -61.13293076, 41.09990692, -0.37702650, -0.12224514, -2.10915899, 0.99982464, 0.00330924, 0.00100605, 0.01840824, -0.00981596, 0.86940885, -0.50491118, 87.59200287, 1211.56689453, 38.09000015, 0.00000000
1, 0.1899, 19, 0.00723325, -0.86059290, -0.49723831, -1.32892537, -1.62325311, -0.80295873, 14.48980618, -61.13293076, 41.09990692, -0.39051488, -0.12331684, -2.12707090, 0.99982131, 0.00342726, 0.00101270, 0.01856467, -0.00938059, 0.86733013, -0.50273669, 87.59200287, 1211.56689453, 38.09000015, 0.00000000
1, 0.1999, 20, 0.00708721, -0.86086118, -0.49776492, -0.86020952, -1.65132189, -0.96318787, 14.70919418, -62.40832901, 41.08087540, -0.39932832, -0.12314413, -2.14607763, 0.99981797, 0.00350430, 0.00100918, 0.01873058, -0.00923620, 0.86777657, -0.50220895, 87.59200287, 1211.56689453, 38.09000015, 0.00000000
1, 0.2099, 21, 0.00930603, -0.86223626, -0.50138116, -0.05467397, -1.68130219, -0.84323472, 15.03827477, -65.04708099, 41.19506836, -0.41438544, -0.12566663, -2.20994806, 0.99980688, 0.00363666, 0.00102670, 0.01928806, -0.01146820, 0.86928338, -0.49859163, 87.59200287, 1211.56689453, 38.09000015, 0.00000000
1, 0.2199, 22, 0.00811785, -0.86268973, -0.50275123, 0.27201191, -1.81284034, -1.04036129, 14.52637196, -61.79261780, 40.77635956, -0.41188407, -0.12563720, -2.23088980, 0.99980342, 0.00361502, 0.00102620, 0.01947075, -0.01031424, 0.86989641, -0.49722040, 87.59200287, 1211.56689453, 38.09000015, 0.00000000
