SensorId, TimeStamp (s), FrameNumber, AccX (g), AccY (g), AccZ (g), GyroX (deg/s), GyroY (deg/s), GyroZ (deg/s), MagX (uT), MagY (uT), MagZ (uT), EulerX (deg), EulerY (deg), EulerZ (deg), QuatW, QuatX, QuatY, QuatZ, LinAccX (g), LinAccY (g), LinAccZ (g), Pressure (kPa), Altitude (m), Temperature (degC), HeaveMotion (m)
1, 0.0000, 0, 0.00035745, -0.97658306, -0.28159666, -0.07013559, 1.24044681, 0.58824980, 14.85545158, -61.44078064, 42.52730942, 1.55120933, -0.10299683, -0.33151039, 0.99990386, -0.01353377, 0.00093789, 0.00288054, -0.00213734, 0.94950420, -0.71803510, 87.59500122, 1211.28613281, 41.07999802, 0.00000000
1, 0.0100, 1, -0.00343505, -0.97446978, -0.27989992, -0.19549531, 0.97959149, 0.74135405, 14.45324135, -61.83659363, 43.25052261, 1.54930747, -0.10733621, -0.32000557, 0.99990439, -0.01351717, 0.00097435, 0.00277965, 0.00158698, 0.94741935, -0.71973246, 87.59500122, 1211.28613281, 41.07999802, 0.00000000
1, 0.0200, 2, -0.00235580, -0.96766692, -0.28113165, 0.13202572, 0.67566633, 0.59333581, 14.45324135, -61.83659363, 43.25052261, 1.55066848, -0.11111496, -0.31185514, 0.99990439, -0.01352902, 0.00100639, 0.00270807, 0.00044494, 0.94062591, -0.71850091, 87.59500122, 1211.28613281, 41.07999802, 0.00000000
1, 0.0300, 3, -0.00021364, -0.96132541, -0.27912435, 1.17367327, 0.42567486, 0.63762754, 14.81888676, -62.93607712, 42.83182144, 1.56124651, -0.12351911, -0.32374015, 0.99990273, -0.01362091, 0.00111629, 0.00281021, -0.00181198, 0.93414688, -0.72050416, 87.59500122, 1211.28613281, 41.07999802, 0.00000000
1, 0.0400, 4, 0.00353930, -0.95655745, -0.27437240, 0.99827003, 0.53291559, 0.28885269, 15.03827477, -62.18843079, 42.83182144, 1.57125044, -0.12478152, -0.31787634, 0.99990159, -0.01370823, 0.00112685, 0.00275880, -0.00571729, 0.92919761, -0.72525090, 87.59500122, 1211.28613281, 41.07999802, 0.00000000
1, 0.0500, 5, 0.00655886, -0.95927727, -0.27503580, 0.67274892, 1.28997660, 0.00693383, 14.63606358, -62.93607712, 42.85084915, 1.57802272, -0.12120271, -0.30552581, 0.99990118, -0.01376753, 0.00109430, 0.00265139, -0.00870137, 0.93177879, -0.72458380, 87.59500122, 1211.28613281, 41.07999802, 0.00000000
1, 0.0600, 6, 0.01062064, -0.96175396, -0.27860913, 0.33454436, 1.25557697, -0.15095931, 14.70919418, -61.61669922, 42.69859695, 1.58140540, -0.11620782, -0.29392990, 0.99990106, -0.01379727, 0.00104940, 0.00255078, -0.01267968, 0.93417466, -0.72100836, 87.59500122, 1211.28613281, 41.07999802, 0.00000000
1, 0.0700, 7, 0.01559337, -0.96601212, -0.28046218, 0.09029140, 0.48144609, -0.14890876, 14.70919418, -61.61669922, 42.69859695, 1.58232248, -0.11341924, -0.28973821, 0.99990106, -0.01380537, 0.00102458, 0.00251453, -0.01758458, 0.93839747, -0.71915442, 87.59500122, 1211.28613281, 41.07999802, 0.00000000
1, 0.0800, 8, 0.01709754, -0.96802598, -0.27892178, -0.11908460, -0.34558108, -0.04260717, 14.16072655, -61.52874374, 42.35601807, 1.59780979, -0.02323796, -0.32190907, 0.99989885, -0.01394244, 0.00024194, 0.00280608, -0.01868341, 0.94035733, -0.72069383, 87.59500122, 1211.28613281, 41.07999802, 0.00000000
1, 0.0900, 9, 0.01628520, -0.97000349, -0.27799100, 0.15546066, -0.87434703, -0.10729882, 14.85545158, -61.39680099, 43.34568787, 1.59931171, -0.02467465, -0.33061022, 0.99989855, -0.01395549, 0.00025557, 0.00288183, -0.01670496, 0.94210839, -0.72161973, 87.59500122, 1211.28613281, 41.07999802, 0.00000000
1, 0.1000, 10, 0.01296100, -0.97360235, -0.27709928, 0.52015972, -1.10708725, -0.39456072, 14.08759975, -63.33188629, 43.34568787, 1.60444987, -0.02401072, -0.34237820, 0.99989754, -0.01400032, 0.00025134, 0.00298458, -0.01338690, 0.94563985, -0.72250962, 87.59500122, 1211.28613281, 41.07999802, 0.00000000
1, 0.1100, 11, 0.00884919, -0.97308159, -0.27129444, 0.73512840, -1.00162280, -0.44573620, 14.41668034, -61.66067886, 43.09827042, 1.61175048, -0.02255658, -0.35329157, 0.99989641, -0.01406404, 0.00024018, 0.00307997, -0.00925396, 0.94499874, -0.72831106, 87.59500122, 1211.28613281, 41.07999802, 0.00000000
1, 0.1200, 12, 0.00181214, -0.97267610, -0.27066073, 0.15489033, -0.11217480, -0.54830933, 14.41668034, -61.66067886, 43.09827042, 1.61328495, -0.01761129, -0.35592392, 0.99989611, -0.01407755, 0.00019740, 0.00310354, -0.00215659, 0.94452184, -0.72894281, 87.59500122, 1211.28613281, 41.07999802, 0.00000000
1, 0.1300, 13, 0.00034111, -0.97264469, -0.27606106, -0.16893932, 0.10942511, -0.61297280, 15.22109699, -62.32036591, 42.98407745, 1.63293028, -0.04361221, -0.37283188, 0.99989319, -0.01424820, 0.00042691, 0.00324781, -0.00071629, 0.94441354, -0.72354025, 87.59500122, 1211.28613281, 41.07999802, 0.00000000
1, 0.1400, 14, -0.00085510, -0.96991193, -0.28239283, -0.30827540, -0.42429599, -0.57103252, 14.41668034, -62.49628448, 43.06019974, 1.62981582, -0.03932821, -0.37849131, 0.99989337, -0.01422113, 0.00039014, 0.00329774, 0.00014372, 0.94145143, -0.71720189, 87.59500122, 1211.28613281, 41.07999802, 0.00000000
1, 0.1500, 15, 0.00188526, -0.96609437, -0.28418165, -0.16186497, -1.04382241, -0.39114380, 14.48980618, -62.01251602, 42.88891602, 1.62812817, -0.03851421, -0.38959852, 0.99989331, -0.01420639, 0.00038437, 0.00339476, -0.00255539, 0.93767345, -0.71541423, 87.59500122, 1211.28613281, 41.07999802, 0.00000000
1, 0.1600, 16, 0.00419007, -0.96461010, -0.28137669, -0.07112450, -1.45793760, -0.20676631, 14.78232574, -61.48476028, 42.64150238, 1.62732947, -0.04063629, -0.40416545, 0.99989289, -0.01419931, 0.00040467, 0.00352161, -0.00487980, 0.93620920, -0.71821976, 87.59500122, 1211.28613281, 41.07999802, 0.00000000
1, 0.1700, 17, 0.00448945, -0.96502769, -0.27577654, -0.08806480, -1.64761841, -0.15796733, 14.78232574, -61.48476028, 42.64150238, 1.62633932, -0.04376079, -0.42041439, 0.99989259, -0.01419051, 0.00043391, 0.00366301, -0.00522889, 0.93664384, -0.72382033, 87.59500122, 1211.28613281, 41.07999802, 0.00000000
1, 0.1800, 18, 0.00432560, -0.96567494, -0.27350610, 0.37228823, -1.02674735, -0.12874465, 15.36735439, -63.41984940, 43.02214050, 1.66068172, -0.04936598, -0.44969720, 0.99988723, -0.01448987, 0.00048762, 0.00391768, -0.00512877, 0.93712145, -0.72608578, 87.59500122, 1211.28613281, 41.07999802, 0.00000000
1, 0.1900, 19, -0.00238871, -0.96662074, -0.27192473, 0.60426211, -0.52347630, -0.36497012, 15.11140537, -61.96853638, 43.15536499, 1.66670334, -0.04733283, -0.45578587, 0.99988633, -0.01454245, 0.00047086, 0.00397104, 0.00154120, 0.93757749, -0.72765315, 87.59500122, 1211.28613281, 41.07999802, 0.00000000
1, 0.2000, 20, -0.00231614, -0.96688217, -0.27269500, 0.01499420, -0.36915913, -0.64117563, 14.74575996, -61.79261780, 42.83182144, 1.66681457, -0.04221664, -0.46113110, 0.99988610, -0.01454358, 0.00042690, 0.00401833, 0.00154825, 0.93778861, -0.72688138, 87.59500122, 1211.28613281, 41.07999802, 0.00000000
1, 0.2100, 21, 0.00138909, -0.96589589, -0.26987830, -0.52254903, -0.63296366, -0.50445050, 14.41668034, -61.04496765, 42.94601059, 1.66154134, -0.03915485, -0.46859005, 0.99988651, -0.01449765, 0.00040094, 0.00408382, -0.00208945, 0.93685746, -0.72969973, 87.59500122, 1211.28613281, 41.07999802, 0.00000000
1, 0.2200, 22, 0.00591634, -0.96820629, -0.27390686, -0.55630583, -1.13354111, -0.33908814, 14.41668034, -61.04496765, 42.94601059, 1.65591264, -0.03908790, -0.48038578, 0.99988687, -0.01444850, 0.00040164, 0.00418678, -0.00659623, 0.93927467, -0.72567427, 87.59500122, 1211.28613281, 41.07999802, 0.00000000
