SensorId, TimeStamp (s), FrameNumber, AccX (g), AccY (g), AccZ (g), GyroX (deg/s), GyroY (deg/s), GyroZ (deg/s), MagX (uT), MagY (uT), MagZ (uT), EulerX (deg), EulerY (deg), EulerZ (deg), QuatW, QuatX, QuatY, QuatZ, LinAccX (g), LinAccY (g), LinAccZ (g), Pressure (kPa), Altitude (m), Temperature (degC), HeaveMotion (m)
1, -0.0001, 0, 0.01039452, -0.96015769, -0.29136902, 1.23595643, -1.39792848, -0.10403435, 14.56293774, -62.23241043, 44.01180267, -0.48629111, -0.52655047, -0.59498447, 0.99996692, 0.00426743, 0.00457287, 0.00521159, -0.01956166, 0.96871912, -0.70855230, 87.60000610, 1210.81738281, 39.77999878, 0.00000000
1, 0.0099, 1, 0.00984888, -0.96501422, -0.28734839, 0.83645022, -1.14688396, 0.09582742, 14.56293774, -62.98005676, 44.24018860, -0.47804472, -0.53078592, -0.60585475, 0.99996650, 0.00419610, 0.00460980, 0.00530627, -0.01908713, 0.97339630, -0.71257389, 87.60000610, 1210.81738281, 39.77999878, 0.00000000
1, 0.0199, 2, 0.01004902, -0.96960282, -0.28417915, 0.05852856, -0.10346232, -0.07321700, 15.29422855, -62.80414200, 44.04986954, -0.47746491, -0.53038383, -0.60706121, 0.99996656, 0.00419107, 0.00460628, 0.00531676, -0.01931704, 0.97792733, -0.71574330, 87.60000610, 1210.81738281, 39.77999878, 0.00000000
1, 0.0299, 3, 0.00496744, -0.97475845, -0.28482547, -1.14951348, 1.17958724, -0.41169056, 14.48980618, -63.85964203, 43.89761353, -0.48885980, -0.52304018, -0.59673625, 0.99996686, 0.00428976, 0.00454205, 0.00522685, -0.01415769, 0.98319227, -0.71509677, 87.60000610, 1210.81738281, 39.77999878, 0.00000000
1, 0.0399, 4, 0.00056476, -0.98050874, -0.28777623, -1.63905859, 2.27901053, -0.72106636, 14.48980618, -63.85964203, 43.89761353, -0.49939328, -0.51572013, -0.60330456, 0.99996644, 0.00438160, 0.00447744, 0.00528431, -0.00957934, 0.98919046, -0.71214545, 87.60000610, 1210.81738281, 39.77999878, 0.00000000
1, 0.0499, 5, 0.00136726, -0.98255539, -0.29464352, -1.13134933, 1.66544986, -0.73551923, 14.89201736, -61.57272339, 43.36471558, -0.51055682, -0.50385016, -0.58927757, 0.99996710, 0.00447794, 0.00437389, 0.00516188, -0.01022856, 0.99140871, -0.70527804, 87.60000610, 1210.81738281, 39.77999878, 0.00000000
1, 0.0599, 6, 0.00372732, -0.98111898, -0.29460743, -0.65953666, 0.16736047, -0.18837427, 14.23385715, -61.92455292, 43.76438904, -0.51714027, -0.50156683, -0.58809102, 0.99996704, 0.00453524, 0.00435372, 0.00515169, -0.01248310, 0.99010235, -0.70531392, 87.60000610, 1210.81738281, 39.77999878, 0.00000000
1, 0.0699, 7, 0.00908614, -0.97618133, -0.29340583, -0.67505556, -0.90484869, 0.31648058, 14.70919418, -63.37586975, 43.74535370, -0.52397662, -0.50721091, -0.59570611, 0.99996620, 0.00459544, 0.00440236, 0.00521863, -0.01789403, 0.98527330, -0.70651412, 87.60000610, 1210.81738281, 39.77999878, 0.00000000
1, 0.0799, 8, 0.00922121, -0.96508116, -0.29347864, -0.71323609, -1.08124244, 0.59414196, 14.52637196, -61.96853638, 43.38374710, -0.53119379, -0.51602554, -0.60420245, 0.99996507, 0.00465915, 0.00447860, 0.00529340, -0.01817063, 0.97430438, -0.70643890, 87.60000610, 1210.81738281, 39.77999878, 0.00000000
1, 0.0899, 9, 0.00640310, -0.95726103, -0.29320720, -0.64033490, -0.94059217, 0.42109275, 14.52637196, -61.96853638, 43.38374710, -0.54985654, -0.53957051, -0.63944972, 0.99996173, 0.00482453, 0.00468172, 0.00560269, -0.01556445, 0.96665561, -0.70670664, 87.60000610, 1210.81738281, 39.77999878, 0.00000000
1, 0.0999, 10, 0.00131792, -0.95124739, -0.28866589, -1.09063339, -0.13162485, 0.05275535, 14.78232574, -61.13293076, 43.61213303, -0.56077242, -0.54045618, -0.64033341, 0.99996120, 0.00491987, 0.00468888, 0.00561088, -0.01075268, 0.96095538, -0.71124250, 87.60000610, 1210.81738281, 39.77999878, 0.00000000
1, 0.1099, 11, -0.00090915, -0.95036846, -0.29043773, -1.39735520, 0.55725235, -0.24823290, 13.97790337, -61.52874374, 43.42181396, -0.57469922, -0.53645682, -0.63545555, 0.99996096, 0.00504100, 0.00465351, 0.00556871, -0.00848132, 0.96030551, -0.70946884, 87.60000610, 1210.81738281, 39.77999878, 0.00000000
1, 0.1199, 12, 0.00040823, -0.95194787, -0.28957313, -1.05788910, 0.74917889, -0.28039321, 14.48980618, -62.45230865, 43.93567276, -0.58521914, -0.53159660, -0.62889445, 0.99996108, 0.00513230, 0.00461088, 0.00551167, -0.00971385, 0.96210140, -0.71033204, 87.60000610, 1210.81738281, 39.77999878, 0.00000000
1, 0.1299, 13, 0.00442853, -0.95393294, -0.28554356, -0.71842951, 0.40363860, 0.02771309, 14.78232574, -62.62821960, 43.63116455, -0.59235781, -0.53068960, -0.62481576, 0.99996102, 0.00519439, 0.00460281, 0.00547633, -0.01369802, 0.96422958, -0.71436048, 87.60000610, 1210.81738281, 39.77999878, 0.00000000
1, 0.1399, 14, 0.00754232, -0.95929492, -0.28874791, -0.97253764, 0.41538322, 0.23967727, 14.78232574, -62.62821960, 44.03083801, -0.59412676, -0.53488398, -0.64789695, 0.99995959, 0.00521096, 0.00463827, 0.00567800, -0.01682971, 0.96969920, -0.71115482, 87.60000610, 1210.81738281, 39.77999878, 0.00000000
1, 0.1499, 15, 0.01001683, -0.96587062, -0.29095256, -1.40881705, 1.11584353, 0.22058190, 14.70919418, -63.37586975, 44.03083801, -0.60810906, -0.53374422, -0.63630819, 0.99995959, 0.00533245, 0.00462817, 0.00557739, -0.01934400, 0.97638261, -0.70894861, 87.60000610, 1210.81738281, 39.77999878, 0.00000000
