SensorId, TimeStamp (s), FrameNumber, AccX (g), AccY (g), AccZ (g), GyroX (deg/s), GyroY (deg/s), GyroZ (deg/s), MagX (uT), MagY (uT), MagZ (uT), EulerX (deg), EulerY (deg), EulerZ (deg), QuatW, QuatX, QuatY, QuatZ, LinAccX (g), LinAccY (g), LinAccZ (g), Pressure (kPa), Altitude (m), Temperature (degC), HeaveMotion (m)
1, -0.0001, 0, -0.03343378, -0.98120832, -0.30627525, 0.11710239, 12.05741405, 3.46941471, 13.64882374, -65.75074005, 46.35274506, -1.03579783, 0.01514198, 5.79589987, 0.99868029, 0.00903404, 0.00032502, -0.05055632, 0.03366410, 0.99930513, -0.69356102, 87.60500336, 1210.34936523, 40.11000061, 0.00000000
1, 0.0099, 1, -0.03412205, -0.98122776, -0.30172917, 0.42276224, 13.42672443, 3.83125520, 13.68538952, -66.71829224, 46.29565048, -1.03024447, 0.02130716, 5.93535042, 0.99861854, 0.00898802, 0.00027978, -0.05177211, 0.03444776, 0.99924618, -0.69810843, 87.60500336, 1210.34936523, 40.11000061, 0.00000000
1, 0.0199, 2, -0.03414915, -0.97898281, -0.29906729, 0.10423364, 14.60443401, 4.06792974, 13.75851536, -65.09105682, 46.67628860, -1.02774525, 0.02894182, 6.08674383, 0.99854934, 0.00896940, 0.00022396, -0.05309200, 0.03460378, 0.99693012, -0.70077163, 87.60500336, 1210.34936523, 40.11000061, 0.00000000
1, 0.0299, 3, -0.02669259, -0.96776563, -0.29779774, -0.08910286, 15.76540661, 4.33902597, 13.75851536, -65.09105682, 46.67628860, -1.02703691, 0.03767547, 6.25002337, 0.99847275, 0.00896706, 0.00016031, -0.05451544, 0.02729089, 0.98569679, -0.70204127, 87.60500336, 1210.34936523, 40.11000061, 0.00000000
1, 0.0399, 4, -0.01792314, -0.95804703, -0.29892457, -0.09926060, 16.10015106, 4.85586548, 13.94133854, -66.89420319, 46.50499725, -1.02889872, 0.03736513, 6.38356018, 0.99840826, 0.00898294, 0.00017437, -0.05567892, 0.01861558, 0.97597635, -0.70091450, 87.60500336, 1210.34936523, 40.11000061, 0.00000000
1, 0.0499, 5, -0.00676974, -0.95212966, -0.30039105, -0.14495294, 16.45234108, 5.33802366, 13.90477753, -66.19053650, 46.75241470, -1.02863228, 0.03880396, 6.55652571, 0.99832320, 0.00898106, 0.00017526, -0.05718598, 0.00744194, 0.97008407, -0.69944763, 87.60500336, 1210.34936523, 40.11000061, 0.00000000
1, 0.0599, 6, -0.00191736, -0.95033753, -0.29930982, -0.20816167, 16.83955383, 5.76823759, 14.01446915, -66.67430878, 47.17111969, -1.02895689, 0.03738526, 6.73453331, 0.99823308, 0.00898288, 0.00020173, -0.05873660, 0.00258504, 0.96829182, -0.70052874, 87.60500336, 1210.34936523, 40.11000061, 0.00000000
1, 0.0699, 7, -0.00185283, -0.95174891, -0.30064228, -0.23718871, 17.27708054, 6.28729582, 13.31974411, -65.88268280, 46.79048157, -1.02951896, 0.03242933, 6.91833925, 0.99813759, 0.00898483, 0.00025960, -0.06033731, 0.00245785, 0.96972430, -0.69919598, 87.60500336, 1210.34936523, 40.11000061, 0.00000000
1, 0.0799, 8, -0.00086420, -0.95035619, -0.30302143, 0.40110019, 17.62032700, 6.59139013, 14.01446915, -65.35493469, 46.63821793, -1.02366745, 0.02566680, 7.10630178, 0.99803776, 0.00892977, 0.00033008, -0.06197394, 0.00135893, 0.96827471, -0.69681787, 87.60500336, 1210.34936523, 40.11000061, 0.00000000
1, 0.0899, 9, -0.00364430, -0.94972920, -0.30480111, 1.47208548, 17.95237732, 6.73572111, 14.01446915, -65.35493469, 46.63821793, -1.01206315, 0.01740502, 7.26356983, 0.99795276, 0.00882368, 0.00040787, -0.06334301, 0.00400574, 0.96744025, -0.69504201, 87.60500336, 1210.34936523, 40.11000061, 0.00000000
1, 0.0999, 10, -0.00676501, -0.94913417, -0.30286175, 1.61534917, 17.86659431, 6.80379152, 14.19729233, -65.39891052, 47.28531265, -0.99412221, 0.00933024, 7.45442247, 0.99784726, 0.00866219, 0.00048270, -0.06500447, 0.00697897, 0.96659589, -0.69698572, 87.60500336, 1210.34936523, 40.11000061, 0.00000000
1, 0.1099, 11, -0.00634638, -0.94918662, -0.30104223, 1.09206343, 18.51746941, 6.62571573, 14.45324135, -66.71829224, 47.83723831, -0.98136371, 0.00494523, 7.65094471, 0.99773532, 0.00854770, 0.00052830, -0.06671540, 0.00645630, 0.96638680, -0.69880986, 87.60500336, 1210.34936523, 40.11000061, 0.00000000
1, 0.1199, 12, -0.00298085, -0.95467234, -0.31178299, 0.44292274, 19.39235497, 6.32968473, 13.86821175, -67.07012177, 47.76111221, -0.97502917, 0.00610095, 7.85488510, 0.99761552, 0.00849229, 0.00052967, -0.06849109, 0.00307119, 0.97172379, -0.68807161, 87.60500336, 1210.34936523, 40.11000061, 0.00000000
1, 0.1299, 13, -0.00093787, -0.96178985, -0.31682694, 0.10236397, 20.10068321, 5.87100506, 13.79508114, -68.16960144, 47.53272629, -0.97203702, 0.01382315, 8.06413937, 0.99748886, 0.00847000, 0.00047612, -0.07031328, 0.00112129, 0.97877479, -0.68302882, 87.60500336, 1210.34936523, 40.11000061, 0.00000000
1, 0.1399, 14, 0.00538648, -0.96418983, -0.31729811, 0.80858183, 19.64619637, 5.66592789, 13.79508114, -68.16960144, 47.53272629, -0.96922266, 0.02476276, 8.23499203, 0.99738312, 0.00845164, 0.00039177, -0.07180125, -0.00503725, 0.98108691, -0.68255901, 87.60500336, 1210.34936523, 40.11000061, 0.00000000
1, 0.1499, 15, 0.01126406, -0.96309686, -0.31538001, 1.10247481, 18.47776222, 5.90413809, 14.27041817, -68.52143860, 47.53272629, -0.95632255, 0.02701320, 8.42885113, 0.99726111, 0.00834015, 0.00037821, -0.07348867, -0.01080369, 0.97986722, -0.68447936, 87.60500336, 1210.34936523, 40.11000061, 0.00000000
1, 0.1599, 16, 0.01366792, -0.95769793, -0.31328431, 0.92980832, 17.77337646, 5.87227917, 14.19729233, -67.64184570, 47.41853714, -0.94521034, 0.02730566, 8.61594391, 0.99714065, 0.00824302, 0.00038199, -0.07511685, -0.01319537, 0.97427046, -0.68657827, 87.60500336, 1210.34936523, 40.11000061, 0.00000000
1, 0.1699, 17, 0.01766523, -0.95338154, -0.31459427, 0.89989412, 17.41603851, 5.67149734, 13.83164692, -66.85022736, 47.51369476, -0.93443114, 0.02833894, 8.79901123, 0.99702018, 0.00814930, 0.00037896, -0.07670987, -0.01718551, 0.96975452, -0.68527156, 87.60500336, 1210.34936523, 40.11000061, 0.00000000
1, 0.1799, 18, 0.01889145, -0.94668031, -0.31108677, 0.66034651, 16.95954132, 5.13528395, 14.08759975, -67.94970703, 48.12272263, -0.92609972, 0.03299593, 8.97607899, 0.99690092, 0.00807940, 0.00034535, -0.07825073, -0.01835110, 0.96290588, -0.68878144, 87.60500336, 1210.34936523, 40.11000061, 0.00000000
